NazwaDokumentu;ProduktID;Kod;ProduktNazwa;Ilosc;Jednostka;Cena;Wartosc;VAT;CenaBrutto;WartoscBrutto
FS 112508/W/2025;8596;212884;ALOES ŚWIEŻY BIO (około 0,50 kg);6.540;kg;12,04;78,74;5,00;12,64;82,68
FS 112508/W/2025;6070;5907814662798;AMARANTUS BIO 1 kg - BIO PLANET;2.00;szt;10,13;20,26;5,00;10,64;21,27
FS 112508/W/2025;42071;5905279630147;BATON DAKTYLOWY KOKOS - KAKAO DALEKO JESZCZE BEZGL;6.00;szt;2,81;16,86;23,00;3,46;20,74
FS 112508/W/2025;44923;5905279630604;BATON PISTACJOWY Z MALINAMI SICILIANA RAW BEZGL;5.00;szt;4,46;22,30;5,00;4,68;23,42
FS 112508/W/2025;47133;5907623359100;BUŁKI KAJZERKI BEZGLUTENOWE (4 szt.) 240 g - WISO;1.00;szt;7,14;7,14;5,00;7,50;7,50
FS 112508/W/2025;41439;5902431591889;BUŁKI PITA BEZGLUTENOWE (2 szt.) 190 g - INCOLA;2.00;szt;8,63;17,26;5,00;9,06;18,12
FS 112508/W/2025;25254;5906732620194;BURACZKI TARTE 500 g - KROKUS;3.00;szt;9,95;29,85;5,00;10,45;31,34
FS 112508/W/2025;6470;5902650272811;CEBULA ŻÓŁTA ŚWIEŻA BIO (POLSKA) (około 1,00 kg);3.00;szt;4,58;13,74;5,00;4,81;14,43
FS 112508/W/2025;26624;5902367409081;CHAŁWA O SMAKU WANILIOWYM BIO 200 g - NATURAVENA;3.00;szt;14,58;43,74;23,00;17,93;53,80
FS 112508/W/2025;6834;5907814668172;CHIA NASIONA BEZGLUTENOWE BIO 400 g - BIO PLANET;2.00;szt;10,76;21,52;5,00;11,30;22,60
FS 112508/W/2025;10694;8718754505048;CHIPSY Z CIECIERZYCY Z ROZMARYNEM BIO 75 g - TRAFO;3.00;szt;6,89;20,67;5,00;7,23;21,70
FS 112508/W/2025;42794;8005221301334;CHLEB TOSTOWY ORKISZOWY KROJONY BIO 400 g - IL BUO;6.00;szt;9,61;57,66;5,00;10,09;60,54
FS 112508/W/2025;8747;5998858704780;CHRUPKI JAGLANE BARBECUE BEZGLUTENOWE BIO- BIOPONT;4.00;szt;4,29;17,16;5,00;4,50;18,02
FS 112508/W/2025;30937;5900028007751;CHRUPKI KUKURYDZIANE KWIATKI BIO 80 g - GRANEX;4.00;szt;5,02;20,08;5,00;5,27;21,08
FS 112508/W/2025;46542;7640230493611;CHRUPKI KUKURYDZIANO - OWSIANE MALINOWO - BANANOW;4.00;szt;5,23;20,92;5,00;5,49;21,97
FS 112508/W/2025;32153;5907652545161;CHRUPKI PIRAMIDKI PROTEINOWE O SMAKU BBQ BEZGLUTEN;5.00;szt;3,49;17,45;5,00;3,66;18,32
FS 112508/W/2025;32155;5907652545543;CHRUPKI PIRAMIDKI PROTEINOWE O SMAKU POMIDORA Z B;5.00;szt;3,78;18,90;5,00;3,97;19,85
FS 112508/W/2025;44688;5904730218184;CHRUPKI PIRAMIDKI PROTEINOWE Z SOLĄ HIMALAJSKĄ 60;6.00;szt;3,49;20,94;5,00;3,66;21,99
FS 112508/W/2025;34928;7640161879980;CHRUPKI RYŻ - SOCZEWICA BEZ DODATKU CUKRÓW BEZGLU;5.00;szt;3,70;18,50;5,00;3,89;19,43
FS 112508/W/2025;9726;8594071211998;CIASTKA DAKTYLOWE BEZGLUTENOWE BIO 100- ZEMANKA;3.00;szt;7,57;22,71;5,00;7,95;23,85
FS 112508/W/2025;42368;3184340000108;CIASTKA MARKIZY ORKISZOWE Z KREMEM KAKAOWYM WEGAŃS;2.00;szt;11,77;23,54;5,00;12,36;24,72
FS 112508/W/2025;16700;3760092217959;CIASTKA Z MIGDAŁAMI BEZGLUTENOWE BIO 180 g - NATE;2.00;szt;11,69;23,38;5,00;12,27;24,55
FS 112508/W/2025;27765;5902367407766;CUKIER KOKOSOWY BIO 200 g - NATURAVENA;5.00;szt;7,57;37,85;8,00;8,18;40,88
FS 112508/W/2025;40750;5903111903787;CUKIERKI Z MELISĄ, LAWENDĄ I OWOCAMI LEŚNYMI BEZ;5.00;szt;3,57;17,85;8,00;3,86;19,28
FS 112508/W/2025;10112;5902488067399;FASOLKA W SOSIE POMIDOROWYM BIO 360 g - BIO PLANE;5.00;szt;5,63;28,15;5,00;5,91;29,56
FS 112508/W/2025;17908;5021991941696;HERBATA ZIELONA Z CYTRYNĄ FAIR TRADE BIO 40 g (20;3.00;szt;8,03;24,09;23,00;9,88;29,63
FS 112508/W/2025;5303;4012824400252;HERBATKA ROOIBOS Z CYNAMONEM I GOŹDZIKAMI BIO (17;2.00;szt;8,16;16,32;5,00;8,57;17,14
FS 112508/W/2025;8945;5902741004321;HERBATKA RÓŻANA PIRAMIDKI BIO (15 x 3 g) RY NATURY;3.00;szt;8,54;25,62;8,00;9,22;27,67
FS 112508/W/2025;47002;5021991945489;HERBATKA Z CYNAMONEM I GOŹDZIKAMI O SMAKU RÓŻY BI;1.00;szt;9,27;9,27;8,00;10,01;10,01
FS 112508/W/2025;7865;5903453005415;HERBATNIKI OKRĄGŁE BIO 100 g - BIO ANIA;6.00;szt;3,66;21,96;5,00;3,84;23,06
FS 112508/W/2025;15517;5902650274587;JABŁKA NA SOK ŚWIEŻE BIO (POLSKA) (około 1,00 kg);1.00;szt;5,06;5,06;5,00;5,31;5,31
FS 112508/W/2025;45449;3383482307926;KAPSUŁKI DO PRANIA NA BAZIE SZAREGO MYDŁA KWIATOWE;1.00;szt;23,25;23,25;23,00;28,60;28,60
FS 112508/W/2025;12758;5902488062899;KARCZOCH ŚWIEŻY BIO (około 0,15 kg);14.00;szt;3,80;53,20;5,00;3,99;55,86
