NazwaDokumentu;ProduktID;Kod;ProduktNazwa;Ilosc;Jednostka;Cena;Wartosc;VAT;CenaBrutto;WartoscBrutto
FS 6234/W/2026;6070;5907814662798;AMARANTUS BIO 1 kg - BIO PLANET;2.00;szt;10,13;20,26;5,00;10,64;21,27
FS 6234/W/2026;27934;5906750252049;BATON PROTEINOWY ORZECHOW Z OLEJEM MCT 50g- PALIWO;37.00;szt;3,70;136,90;5,00;3,89;143,75
FS 6234/W/2026;14220;5425007882667;BELGIJSKIE CZEKOLADKI TRUFLE Z ORZECHAMI LASKOWYM;1.00;szt;18,36;18,36;23,00;22,58;22,58
FS 6234/W/2026;10105;5903900362023;BŁONNIK JABŁKOWY BIO 150 g - BIO PLANET;3.00;szt;5,96;17,88;5,00;6,26;18,77
FS 6234/W/2026;44696;5902431592732;BUŁKA KAJZERKA Z MAKIEM BEZGLUTENOWA (2 szt.) 120;4.00;szt;6,84;27,36;5,00;7,18;28,73
FS 6234/W/2026;40509;5902431592015;BUŁKI DO HAMBURGERÓW Z SIEMIENIEM LNIANYM BEZGLUT;5.00;szt;5,74;28,70;5,00;6,03;30,14
FS 6234/W/2026;40509;5902431592015;BUŁKI DO HAMBURGERÓW Z SIEMIENIEM LNIANYM BEZGLUT;3.00;szt;5,74;17,22;5,00;6,03;18,08
FS 6234/W/2026;40510;5902431590431;BUŁKI DO HOT-DOGÓW BEZGLUTENOWE (2 szt.) 130 g -;4.00;szt;5,78;23,12;5,00;6,07;24,28
FS 6234/W/2026;6560;5902650272804;BURAK CZERWONY ŚWIEŻY BIO (POLSKA) (około 1,00 kg);5.00;szt;3,61;18,05;5,00;3,79;18,95
FS 6234/W/2026;42451;5903794189188;BUTELKA MIEDZIANA HAMMER 950 ml - SATTVA;2.00;szt;82,32;164,64;23,00;101,25;202,51
FS 6234/W/2026;32153;5907652545161;CHRUPKI PIRAMIDKI PROTEINOWE O SMAKU BBQ BEZGLUTEN;5.00;szt;3,49;17,45;5,00;3,66;18,32
FS 6234/W/2026;40541;5904730218139;CHRUPKI PIRAMIDKI PROTEINOWE O SMAKU SŁODKIEJ PAPR;5.00;szt;3,49;17,45;5,00;3,66;18,32
FS 6234/W/2026;21105;4260229160305;CIASTO FRANCUSKIE MAŚLANE BIO 275 g - DONAU STRUD;3.00;szt;12,07;36,21;5,00;12,67;38,02
FS 6234/W/2026;45200;4260229160428;CIASTO FRANCUSKIE ORKISZOWE BIO 270 g - DONAU STR;1.00;szt;11,31;11,31;5,00;11,88;11,88
FS 6234/W/2026;20593;5903794180628;CZYŚCIK MIEDZIANY DO JĘZYKA - SATTVA;2.00;szt;12,88;25,76;23,00;15,84;31,68
FS 6234/W/2026;6822;5907814666895;FASOLKA MUNG BIO 1 kg - BIO PLANET;2.00;szt;13,61;27,22;5,00;14,29;28,58
FS 6234/W/2026;358;5902983782698;FASOLKA MUNG BIO 500 g - BIO PLANET;2.00;szt;7,65;15,30;5,00;8,03;16,07
FS 6234/W/2026;44639;5901866006517;FAWORKI BEZGLUTENOWE 100 g - GLUTENEX (PRODUKT SEZ;2.00;szt;12,54;25,08;5,00;13,17;26,33
FS 6234/W/2026;1900;8437010207815;GAZPACHO (HISZPAŃSKA ZUPA WARZYWNA) BIO 1 L - BIOS;4.00;szt;11,43;45,72;5,00;12,00;48,01
FS 6234/W/2026;4260;8595178201714;HERBATKA DLA DZIECI - DZIKA RÓŻA I ROKITNIK BIO 20;4.00;szt;4,72;18,88;8,00;5,10;20,39
FS 6234/W/2026;4258;8595178206030;HERBATKA DLA DZIECI - KOPER BIO 20 x 1,5  APOTHEKE;4.00;szt;4,72;18,88;8,00;5,10;20,39
FS 6234/W/2026;11972;5903900368650;JABŁKA ŚWIEŻE BIO (GALA - POLSKA) (około 1,00 kg);5.00;szt;6,84;34,20;5,00;7,18;35,91
FS 6234/W/2026;4632;5907814664624;JAJA BIO (10 szt.) - BIO PLANET;2.00;szt;11,90;23,80;5,00;12,50;24,99
FS 6234/W/2026;9501;5902983782247;JARMUŻ ŚWIEŻY BIO (około 0,25 kg);7.00;szt;5,08;35,56;5,00;5,33;37,34
FS 6234/W/2026;6850;5907814668073;KAKAO ZIARNA SUROWE BIO 200 g - BIO PLANET;1.00;szt;23,63;23,63;23,00;29,06;29,06
FS 6234/W/2026;33361;5902367401122;KASZA MANNA BIO 1 kg - BIO PLANET;2.00;szt;8,63;17,26;5,00;9,06;18,12
