NazwaDokumentu;ProduktID;Kod;ProduktNazwa;Ilosc;Jednostka;Cena;Wartosc;VAT;CenaBrutto;WartoscBrutto
FS 2294/W/2026;2698;5907814663207;AMARANTUS BIO 500 g - BIO PLANET;3.00;szt;5,25;15,75;5,00;5,51;16,54
FS 2294/W/2026;2698;5907814663207;AMARANTUS BIO 500 g - BIO PLANET;6.00;szt;5,25;31,50;5,00;5,51;33,08
FS 2294/W/2026;4484;5907814666529;AMARANTUS EKSPANDOWANY BIO 100 g - BIO PLANET;4.00;szt;4,73;18,92;5,00;4,97;19,87
FS 2294/W/2026;19818;5903900362009;ANDRUTY KAKAOWE BIO 32 g (8 szt.) - BIOMINKI;11.00;szt;2,76;30,36;5,00;2,90;31,88
FS 2294/W/2026;27806;5902367407865;BABCIANKI KAKAOWE 100 g - NATURAVENA;6.00;szt;4,00;24,00;5,00;4,20;25,20
FS 2294/W/2026;27808;5902367407841;BABCIANKI Z JAGODAMI GOJI 100 g - NATURAVENA;6.00;szt;4,08;24,48;5,00;4,28;25,70
FS 2294/W/2026;46445;3800233783063;BATONIK Z NADZIENIEM ORZECHOWYM W CZEKOLADZIE BIO;4.00;szt;4,25;17,00;23,00;5,23;20,91
FS 2294/W/2026;46445;3800233783063;BATONIK Z NADZIENIEM ORZECHOWYM W CZEKOLADZIE BIO;1.00;szt;4,25;4,25;23,00;5,23;5,23
FS 2294/W/2026;43401;5902425050828;BIAŁKO Z PESTEK DYNI BIO 500 g - BIO PLANET;1.00;szt;24,00;24,00;8,00;25,92;25,92
FS 2294/W/2026;5907;5902650274570;BROKUŁY ŚWIEŻE BIO (około 0,50 kg);5.00;szt;6,35;31,75;5,00;6,67;33,34
FS 2294/W/2026;40509;5902431592015;BUŁKI DO HAMBURGERÓW Z SIEMIENIEM LNIANYM BEZGLUT;7.00;szt;5,74;40,18;5,00;6,03;42,19
FS 2294/W/2026;46889;5902431594002;BUŁKI DO HOT-DOGÓW Z CEBULĄ BEZGLUTENOWE (2 szt.);4.00;szt;6,84;27,36;5,00;7,18;28,73
FS 2294/W/2026;46889;5902431594002;BUŁKI DO HOT-DOGÓW Z CEBULĄ BEZGLUTENOWE (2 szt.);4.00;szt;6,84;27,36;5,00;7,18;28,73
FS 2294/W/2026;6560;5902650272804;BURAK CZERWONY ŚWIEŻY BIO (POLSKA) (około 1,00 kg);2.00;szt;3,61;7,22;5,00;3,79;7,58
FS 2294/W/2026;6834;5907814668172;CHIA NASIONA BEZGLUTENOWE BIO 400 g - BIO PLANET;2.00;szt;10,76;21,52;5,00;11,30;22,60
FS 2294/W/2026;10210;5907738152849;CHIPSY BANANOWE NIESŁODZONE BIO 350 g - BIO PLANE;2.00;szt;10,01;20,02;5,00;10,51;21,02
FS 2294/W/2026;10151;5903900368285;CHIPSY BANANOWE SŁODZONE BIO 350 g - BIO PLANET;2.00;szt;9,38;18,76;5,00;9,85;19,70
FS 2294/W/2026;44383;8936181660417;CHIPSY NORI KLASYCZNE BEZGLUTENOWE 4,5 g - SEN SO;9.00;szt;2,08;18,72;5,00;2,18;19,66
FS 2294/W/2026;44381;8936181660448;CHIPSY NORI TERIYAKI 4,5 g - SEN SOY;9.00;szt;2,08;18,72;5,00;2,18;19,66
FS 2294/W/2026;45618;8716788019142;CHIPSY Z CIECIERZYCY Z CURRY BEZGLUTENOWE BIO 75;4.00;szt;1,74;6,96;5,00;1,83;7,31
FS 2294/W/2026;18719;4270000598203;CHIPSY Z PLANTANA SOLONE BEZGLUTENOWE BIO 80 g -;3.00;szt;7,40;22,20;5,00;7,77;23,31
FS 2294/W/2026;30938;5900028007768;CHRUPKI KUKURYDZIANE MISIE BIO 80 g - GRANEX;4.00;szt;5,14;20,56;5,00;5,40;21,59
FS 2294/W/2026;32153;5907652545161;CHRUPKI PIRAMIDKI PROTEINOWE O SMAKU BBQ BEZGLUTEN;5.00;szt;3,49;17,45;5,00;3,66;18,32
FS 2294/W/2026;32155;5907652545543;CHRUPKI PIRAMIDKI PROTEINOWE O SMAKU POMIDORA Z B;5.00;szt;3,78;18,90;5,00;3,97;19,85
FS 2294/W/2026;40541;5904730218139;CHRUPKI PIRAMIDKI PROTEINOWE O SMAKU SŁODKIEJ PAPR;5.00;szt;3,49;17,45;5,00;3,66;18,32
FS 2294/W/2026;47107;5904730218627;CHRUPKI PIRAMIDKI PROTEINOWE O SMAKU SWEET THAI B;4.00;szt.;3,78;15,12;5,00;3,97;15,88
FS 2294/W/2026;46857;5412916991702;CIASTECZKA OD 6 MIESIĄCA BIO 120 g - BISKIDS;1.00;szt;7,61;7,61;5,00;7,99;7,99
