NazwaDokumentu;ProduktID;Kod;ProduktNazwa;Ilosc;Jednostka;Cena;Wartosc;VAT;CenaBrutto;WartoscBrutto
FS 1309/W/2026;8596;212884;ALOES ŚWIEŻY BIO (około 0,50 kg);2.675;kg;12,04;32,21;5,00;12,64;33,82
FS 1309/W/2026;6070;5907814662798;AMARANTUS BIO 1 kg - BIO PLANET;2.00;szt;10,13;20,26;5,00;10,64;21,27
FS 1309/W/2026;17988;5907222061770;AMARANTUS EKSPANDOWANY BIO 100 g - HELPA;2.00;szt;9,05;18,10;5,00;9,50;19,01
FS 1309/W/2026;43328;5902425050897;BATON DAKTYLOWY KAKAO Z GUARANĄ BG 50 g - PALIWO;6.00;szt;2,81;16,86;23,00;3,46;20,74
FS 1309/W/2026;45491;5902425056103;BATON PROT SŁONY KARMEL 50 g - PALIWO DLA AKTYWNY;4.00;szt;3,66;14,64;23,00;4,50;18,01
FS 1309/W/2026;27934;5906750252049;BATON PROTEINOWY ORZECHOW Z OLEJEM MCT 50g- PALIWO;5.00;szt;3,70;18,50;5,00;3,89;19,43
FS 1309/W/2026;43329;5902425050880;BATON VITAMIN NUT Z WITAMINAMI B 50 g - PALIWO;6.00;szt;2,64;15,84;5,00;2,77;16,63
FS 1309/W/2026;26283;5902367408947;BŁONNIK WITALNY 250 g - NATURAVENA (kartonik);4.00;szt;11,09;44,36;8,00;11,98;47,91
FS 1309/W/2026;5907;5902650274570;BROKUŁY ŚWIEŻE BIO (około 0,50 kg);2.00;szt;7,07;14,14;5,00;7,42;14,85
FS 1309/W/2026;27020;5902367409753;BULION - KOSTKI WOŁOWE BEZGLUTENOWE BIO 66 g - NAT;9.00;szt;2,04;18,36;5,00;2,14;19,28
FS 1309/W/2026;40509;5902431592015;BUŁKI DO HAMBURGERÓW Z SIEMIENIEM LNIANYM BEZGLUT;7.00;szt;5,74;40,18;5,00;6,03;42,19
FS 1309/W/2026;40510;5902431590431;BUŁKI DO HOT-DOGÓW BEZGLUTENOWE (2 szt.) 130 g -;4.00;szt;5,78;23,12;5,00;6,07;24,28
FS 1309/W/2026;40511;5902431590738;BUŁKI KAJZERKI BEZGLUTENOWE 120 g - INCOLA;3.00;szt;6,80;20,40;5,00;7,14;21,42
FS 1309/W/2026;41442;5902431592145;BUŁKI ZE SŁONECZNIKIEM BEZGLUTENOWE (2 szt.) 100 g;3.00;szt;5,99;17,97;5,00;6,29;18,87
FS 1309/W/2026;6560;5902650272804;BURAK CZERWONY ŚWIEŻY BIO (POLSKA) (około 1,00 kg);1.00;szt;3,61;3,61;5,00;3,79;3,79
FS 1309/W/2026;7351;255069;CEBULA CZERWONA ŚWIEŻA BIO (POLSKA) (około 1,00 kg;2.000;kg;6,04;12,08;5,00;6,34;12,68
FS 1309/W/2026;192;8714685003332;CHLEB PITA BIAŁY BIO 260 g - FLORENTIN;2.00;szt;8,20;16,40;5,00;8,61;17,22
FS 1309/W/2026;33024;8005221301327;CHLEB TOSTOWY PEŁNOZIARNISTY BIO 400 g - IL BUON P;3.00;szt;7,35;22,05;5,00;7,72;23,15
FS 1309/W/2026;35407;5904954645414;CHRUPKI ZBOŻOWE KAKAOWE SMILES BEZGLUTENOWE 375;2.00;szt;9,52;19,04;5,00;10,00;19,99
FS 1309/W/2026;19426;8009004814073;CIASTKA OWSIANO - GRYCZANE BIO 250 g - ALCE NERO;2.00;szt;9,86;19,72;5,00;10,35;20,71
FS 1309/W/2026;6605;8594071210977;CIASTKA Z JABŁKIEM BEZGLUTENOWE BIO 10- ZEMANKA;3.00;szt;7,91;23,73;5,00;8,31;24,92
FS 1309/W/2026;45200;4260229160428;CIASTO FRANCUSKIE ORKISZOWE BIO 270 g - DONAU STR;1.00;szt;11,31;11,31;5,00;11,88;11,88
FS 1309/W/2026;1930;5903900368681;CYTRYNY ŚWIEŻE BIO (około 1,00 kg);1.00;szt;10,49;10,49;5,00;11,01;11,01
FS 1309/W/2026;42073;5904257043405;DAKTYLE SPROSZKOWANE BIO 200 g - HELPA;2.00;szt;14,28;28,56;5,00;14,99;29,99
FS 1309/W/2026;31559;5902596171780;DAKTYLE SUSZONE BEZGLUTENOWE BIO 400 g- THE PLANET;2.00;szt;9,75;19,50;5,00;10,24;20,48
FS 1309/W/2026;20412;8699367125895;FARBA DO WŁOSÓW GŁĘBOKI ZŁOTY BLOND 77.33 - BIOMA;2.00;szt;16,45;32,90;23,00;20,23;40,47
FS 1309/W/2026;27889;5900038002326;GALARETKA O SMAKU TRUSKAWKOWYM BEZ DODATKU CUKRU;11.00;szt;1,61;17,71;8,00;1,74;19,13
FS 1309/W/2026;305;5902175869831;GRYKA EKSPANDOWANA BEZGLUTEN BIO 100g - BIO PLANET;4.00;szt;5,63;22,52;5,00;5,91;23,65
