NazwaDokumentu;ProduktID;Kod;ProduktNazwa;Ilosc;Jednostka;Cena;Wartosc;VAT;CenaBrutto;WartoscBrutto
FS 6891/W/2026;18573;5900900003215;BARSZCZ BIAŁY JAGLANY BEZGLUTENOWY KONCENTRAT BIO;4.00;szt;4,80;19,20;5,00;5,04;20,16
FS 6891/W/2026;32703;5998858706852;BUŁKA TARTA BEZGLUTENOWA BIO 200 g - BIOPONT;3.00;szt;6,63;19,89;5,00;6,96;20,88
FS 6891/W/2026;40509;5902431592015;BUŁKI DO HAMBURGERÓW Z SIEMIENIEM LNIANYM BEZGLUT;7.00;szt;5,74;40,18;5,00;6,03;42,19
FS 6891/W/2026;6560;5902650272804;BURAK CZERWONY ŚWIEŻY BIO (POLSKA) (około 1,00 kg);4.00;szt;3,61;14,44;5,00;3,79;15,16
FS 6891/W/2026;16201;4012346169408;CHILI PŁATKI BIO 45 g - LEBENSBAUM;2.00;szt;8,33;16,66;8,00;9,00;17,99
FS 6891/W/2026;44518;5904703901839;CHOLINA (600 mg) 60 KAPSUŁEK - PHARMOVIT (CLEAN L;4.00;szt;16,66;66,64;8,00;17,99;71,97
FS 6891/W/2026;19582;5906728420265;CIASTKA JAGLANE Z ŻURAWINĄ BEZGLUTENOWE BIO 150 g;2.00;szt;8,42;16,84;5,00;8,84;17,68
FS 6891/W/2026;21105;4260229160305;CIASTO FRANCUSKIE MAŚLANE BIO 275 g - DONAU STRUD;6.00;szt;12,07;72,42;5,00;12,67;76,04
FS 6891/W/2026;10079;5902175866052;CIECIERZYCA W ZALEWIE BIO 350 g(230 g)(SŁOIK)BIOPL;3.00;szt;5,25;15,75;5,00;5,51;16,54
FS 6891/W/2026;29709;5902565215057;CZEKOLADA KETO KOKOSOWA Z OLEJEM MCT BEZ DODATKU;2.00;szt;8,80;17,60;23,00;10,82;21,65
FS 6891/W/2026;2712;5907814664402;DAKTYLE SUSZONE BEZGLUTENOWE BIO 400 g -BIO PLANET;2.00;szt;9,75;19,50;5,00;10,24;20,48
FS 6891/W/2026;15000;8717496900173;FASOLA BIAŁA DROBNA W ZALEWIE BIO 400 g (240 g) (P;4.00;szt;4,42;17,68;5,00;4,64;18,56
FS 6891/W/2026;44639;5901866006517;FAWORKI BEZGLUTENOWE 100 g - GLUTENEX (PRODUKT SEZ;2.00;szt;12,54;25,08;5,00;13,17;26,33
FS 6891/W/2026;2987;5907814660534;FIGI SUSZONE BIO 400 g - BIO PLANET;1.00;szt;24,38;24,38;5,00;25,60;25,60
FS 6891/W/2026;10083;5902175866076;GROSZEK ZIELONY W ZALEWIE BIO350g(230g)(SŁOIKBIOPL;3.00;szt;5,85;17,55;5,00;6,14;18,43
FS 6891/W/2026;44348;4030917056704;GULASZ WEGAŃSKI BEZGLUTENOWY BIO 330 ml - SANCHON;2.00;szt;10,16;20,32;8,00;10,97;21,95
FS 6891/W/2026;45895;4012346224503;HERBATKA OWOCOWE ZIMOWE CIEPŁO BIO (20 x 2 g) 40;2.00;szt;11,09;22,18;8,00;11,98;23,95
FS 6891/W/2026;11341;5907222061053;KASZKA 5 ZBÓŻ BEZ DODATKU CUKRÓW BIO 200 g - HELPA;2.00;szt;11,05;22,10;5,00;11,60;23,21
FS 6891/W/2026;25604;7640104951292;KASZKA OWSIANA PEŁNOZIARNISTA BEZ DODATKU CUKRÓW P;2.00;szt;9,18;18,36;5,00;9,64;19,28
FS 6891/W/2026;25604;7640104951292;KASZKA OWSIANA PEŁNOZIARNISTA BEZ DODATKU CUKRÓW P;2.00;szt;9,18;18,36;5,00;9,64;19,28
FS 6891/W/2026;20301;5903917772242;KOMBUCHA Z SOKIEM Z DZIKIEJ RÓŻY (SHARE LOVE WILD;4.00;szt;7,95;31,80;5,00;8,35;33,39
FS 6891/W/2026;2913;8713576004274;KREM ORZECHOWY MIX (3 ORZECHY) BIO 250 g TERRASANA;1.00;szt;21,46;21,46;5,00;22,53;22,53
FS 6891/W/2026;41760;5904978670034;KREM Z ORZECHÓW LASKOWYCH I KAKAO BEZ DODATKU CUK;2.00;szt;17,94;35,88;23,00;22,07;44,13
FS 6891/W/2026;35403;5904954645421;KULKI KUKURYDZIANE O SMAKU WANILIOWYM BEZGLUTENOW;2.00;szt;9,52;19,04;5,00;10,00;19,99
