NazwaDokumentu;ProduktID;Kod;ProduktNazwa;Ilosc;Jednostka;Cena;Wartosc;VAT;CenaBrutto;WartoscBrutto
FS 3242/W/2026;2698;5907814663207;AMARANTUS BIO 500 g - BIO PLANET;4.00;szt;5,25;21,00;5,00;5,51;22,05
FS 3242/W/2026;10218;5907738155680;BIAŁKO KONOPNE BIO 500 g - BIO PLANET;1.00;szt;17,89;17,89;8,00;19,32;19,32
FS 3242/W/2026;43363;5902425050804;BIAŁKO RYŻOWE BIO 150 g - BIO PLANET;2.00;szt;9,45;18,90;8,00;10,21;20,41
FS 3242/W/2026;45886;5902425057292;BISZKOPTY BIO 200 g - BIOMINKI;3.00;szt;6,55;19,65;5,00;6,88;20,63
FS 3242/W/2026;3753;5907814663238;BUŁKA TARTA BIO 250 g - BIO PLANET;3.00;szt;5,55;16,65;5,00;5,83;17,48
FS 3242/W/2026;40509;5902431592015;BUŁKI DO HAMBURGERÓW Z SIEMIENIEM LNIANYM BEZGLUT;8.00;szt;5,74;45,92;5,00;6,03;48,22
FS 3242/W/2026;40510;5902431590431;BUŁKI DO HOT-DOGÓW BEZGLUTENOWE (2 szt.) 130 g -;4.00;szt;5,78;23,12;5,00;6,07;24,28
FS 3242/W/2026;41440;5902431592077;BUŁKI Z SIEMIENIEM LNIANYM I CHIA BEZGLUTENOWE (2;3.00;szt;5,10;15,30;5,00;5,36;16,07
FS 3242/W/2026;25254;5906732620194;BURACZKI TARTE 500 g - KROKUS;2.00;szt;9,95;19,90;5,00;10,45;20,90
FS 3242/W/2026;44383;8936181660417;CHIPSY NORI KLASYCZNE BEZGLUTENOWE 4,5 g - SEN SO;13.00;szt;2,08;27,04;5,00;2,18;28,39
FS 3242/W/2026;18721;4270000598227;CHIPSY Z MANIOKU SOLONE BEZGLUTENOWE BIO 60 g - E;5.00;szt;7,40;37,00;5,00;7,77;38,85
FS 3242/W/2026;45733;8721082004138;CHIPSY Z SOCZEWICY O SMAKU SEROWYM WEGAŃSKIE BIO;4.00;szt;7,57;30,28;5,00;7,95;31,79
FS 3242/W/2026;19426;8009004814073;CIASTKA OWSIANO - GRYCZANE BIO 250 g - ALCE NERO;2.00;szt;9,86;19,72;5,00;10,35;20,71
FS 3242/W/2026;26834;5906750251158;CIECIERZYCA W ZALEWIE BIO 400 g - NATURAVENA;9.00;szt;4,25;38,25;5,00;4,46;40,16
FS 3242/W/2026;35465;5903858990293;COLLAGEN ACTIVE SHOT 60 ml - COLLIBRE;15.00;szt;6,16;92,40;5,00;6,47;97,02
FS 3242/W/2026;1930;5903900368681;CYTRYNY ŚWIEŻE BIO (około 1,00 kg);1.00;szt;10,46;10,46;5,00;10,98;10,98
FS 3242/W/2026;34639;3483981901882;CZEKOLADA DO PICIA - 50 % KAKAO FAIR TRADE BIO 42;1.00;szt;29,45;29,45;23,00;36,22;36,22
FS 3242/W/2026;20397;8699367125536;FARBA DO WŁOSÓW JASNY BRĄZ 5.00 - BIOMAGIC;2.00;szt;16,45;32,90;23,00;20,23;40,47
FS 3242/W/2026;5072;4012346520001;HERBATA CZARNA ASSAM LIŚCIASTA BIO 100 g EBENSBAUM;2.00;szt;13,60;27,20;23,00;16,73;33,46
FS 3242/W/2026;21461;4012346520407;HERBATA CZARNA CEJLOŃSKA LIŚCIASTA BIO 75 g -;2.00;szt;13,35;26,70;23,00;16,42;32,84
