NazwaDokumentu;ProduktID;Kod;ProduktNazwa;Ilosc;Jednostka;Cena;Wartosc;VAT;CenaBrutto;WartoscBrutto
FS 2707/W/2026;45806;5902448293837;ADAPTOGEN MIX W PROSZKU 180 g - SO GOOD!;1.00;szt;17,72;17,72;8,00;19,14;19,14
FS 2707/W/2026;44382;8436565962736;ALGI NORI PRAŻONE DO SUSHI BIO 15 g - PORTO MUINOS;2.00;szt;11,73;23,46;5,00;12,32;24,63
FS 2707/W/2026;2698;5907814663207;AMARANTUS BIO 500 g - BIO PLANET;9.00;szt;5,25;47,25;5,00;5,51;49,61
FS 2707/W/2026;23044;5902650274075;ANANAS SUSZONY KAWAŁKI BIO 100 g - BIO PLANET;2.00;szt;4,43;8,86;5,00;4,65;9,30
FS 2707/W/2026;31908;5903794186866;ASHWAGANDHA EKSTRAKT (350 mg) 60 KAPSUŁEK - SATTVA;1.00;szt;25,25;25,25;8,00;27,27;27,27
FS 2707/W/2026;40501;5902431592091;BAJGLE Z MAKIEM BEZGLUTENOWE (2 szt.) 190 g - I;2.00;szt;8,88;17,76;5,00;9,32;18,65
FS 2707/W/2026;46146;5907653105371;BAJGLE Z SEZAMEM BEZGLUTENOWE (2 szt.) 170 g - BA;2.00;szt;8,46;16,92;5,00;8,88;17,77
FS 2707/W/2026;45995;5903794180659;BALSAM DO UST MANGO 5 g - SATTVA (AYURVEDA);2.00;szt;11,65;23,30;23,00;14,33;28,66
FS 2707/W/2026;43401;5902425050828;BIAŁKO Z PESTEK DYNI BIO 500 g - BIO PLANET;1.00;szt;24,00;24,00;8,00;25,92;25,92
FS 2707/W/2026;43401;5902425050828;BIAŁKO Z PESTEK DYNI BIO 500 g - BIO PLANET;3.00;szt;24,00;72,00;8,00;25,92;77,76
FS 2707/W/2026;5907;5902650274570;BROKUŁY ŚWIEŻE BIO (około 0,50 kg);1.00;szt;6,35;6,35;5,00;6,67;6,67
FS 2707/W/2026;5907;5902650274570;BROKUŁY ŚWIEŻE BIO (około 0,50 kg);3.00;szt;6,35;19,05;5,00;6,67;20,00
FS 2707/W/2026;32703;5998858706852;BUŁKA TARTA BEZGLUTENOWA BIO 200 g - BIOPONT;3.00;szt;6,63;19,89;5,00;6,96;20,88
FS 2707/W/2026;46150;5907653106842;BUŁKI DO HAMBURGERÓW Z SEZAMEM BEZGLUTENOWE (2 sz;3.00;szt;6,21;18,63;5,00;6,52;19,56
FS 2707/W/2026;40509;5902431592015;BUŁKI DO HAMBURGERÓW Z SIEMIENIEM LNIANYM BEZGLUT;3.00;szt;5,74;17,22;5,00;6,03;18,08
FS 2707/W/2026;40509;5902431592015;BUŁKI DO HAMBURGERÓW Z SIEMIENIEM LNIANYM BEZGLUT;6.00;szt;5,74;34,44;5,00;6,03;36,16
FS 2707/W/2026;40510;5902431590431;BUŁKI DO HOT-DOGÓW BEZGLUTENOWE (2 szt.) 130 g -;4.00;szt;5,78;23,12;5,00;6,07;24,28
FS 2707/W/2026;46889;5902431594002;BUŁKI DO HOT-DOGÓW Z CEBULĄ BEZGLUTENOWE (2 szt.);4.00;szt;6,84;27,36;5,00;7,18;28,73
FS 2707/W/2026;41442;5902431592145;BUŁKI ZE SŁONECZNIKIEM BEZGLUTENOWE (2 szt.) 100 g;3.00;szt;5,99;17,97;5,00;6,29;18,87
FS 2707/W/2026;6560;5902650272804;BURAK CZERWONY ŚWIEŻY BIO (POLSKA) (około 1,00 kg);1.00;szt;3,61;3,61;5,00;3,79;3,79
FS 2707/W/2026;6560;5902650272804;BURAK CZERWONY ŚWIEŻY BIO (POLSKA) (około 1,00 kg);2.00;szt;3,61;7,22;5,00;3,79;7,58
FS 2707/W/2026;23499;5902650275096;CEBULA SZALOTKA ŚWIEŻA BIO (około 0,50 kg);1.00;szt;8,62;8,62;5,00;9,05;9,05
