NazwaDokumentu;ProduktID;Kod;ProduktNazwa;Ilosc;Jednostka;Cena;Wartosc;VAT;CenaBrutto;WartoscBrutto
ZK 48871/W/01/2026;6560;5902650272804;BURAK CZERWONY ŚWIEŻY BIO (POLSKA) (około 1,00 kg);4.00;szt;3,61;14,44;5,00;3,79;15,16
ZK 48871/W/01/2026;21105;4260229160305;CIASTO FRANCUSKIE MAŚLANE BIO 275 g - DONAU STRUD;6.00;szt;12,07;72,42;5,00;12,67;76,04
ZK 48871/W/01/2026;6256;5902650272828;MARCHEW ŚWIEŻA NIEMYTA BIO (POLSKA) (około 0,90 kg;1.00;szt;4,77;4,77;5,00;5,01;5,01
ZK 48871/W/01/2026;31094;5907745970023;PIEROGI Z JABŁKAMI 275 g - MAMA VEGE;2.00;szt;13,47;26,94;5,00;14,14;28,29
ZK 48871/W/01/2026;34382;5907518375369;PIEROGI Z SEREM I RODZYNKAMI BEZGLUTENOWE 275 g -;2.00;szt;17,34;34,68;5,00;18,21;36,41
ZK 48871/W/01/2026;31093;5907518375376;PIEROGI Z TRUSKAWKAMI 275 g - MAMA VEGE;1.00;szt;14,20;14,20;5,00;14,91;14,91
ZK 48871/W/01/2026;31092;5908212240267;PIEROGI Z ZIEMNIAKAMI I BOCZNIAKIEM 275 g - MAMA;1.00;szt;17,68;17,68;5,00;18,56;18,56
ZK 48871/W/01/2026;7996;5907814661999;SELER NACIOWY ŚWIEŻY BIO (około 0,30 kg);3.00;szt;5,79;17,37;5,00;6,08;18,24
