NazwaDokumentu;ProduktID;Kod;ProduktNazwa;Ilosc;Jednostka;Cena;Wartosc;VAT;CenaBrutto;WartoscBrutto
ZK 42969/W/01/2026;5907;5902650274570;BROKUŁY ŚWIEŻE BIO (około 0,50 kg);2.00;szt;7,66;15,32;5,00;8,04;16,09
ZK 42969/W/01/2026;7351;255069;CEBULA CZERWONA ŚWIEŻA BIO (POLSKA) (około 1,00 kg;10.000;kg;6,04;60,40;5,00;6,34;63,42
ZK 42969/W/01/2026;6470;5902650272811;CEBULA ŻÓŁTA ŚWIEŻA BIO (POLSKA) (około 1,00 kg);10.00;szt;4,10;41,00;5,00;4,31;43,05
ZK 42969/W/01/2026;23038;4000915103410;GNOCCHI ŚWIEŻE BIO 400 g - BIO-VERDE;2.00;szt;11,26;22,52;5,00;11,82;23,65
ZK 42969/W/01/2026;11972;5903900368650;JABŁKA ŚWIEŻE BIO (GALA - POLSKA) (około 1,00 kg);2.00;szt;6,84;13,68;5,00;7,18;14,36
ZK 42969/W/01/2026;9501;5902983782247;JARMUŻ ŚWIEŻY BIO (około 0,25 kg);2.00;szt;5,08;10,16;5,00;5,33;10,67
ZK 42969/W/01/2026;6134;5907814662392;KALAFIOR ŚWIEŻY BIO (około 0,70 kg);1.00;szt;10,69;10,69;5,00;11,22;11,22
ZK 42969/W/01/2026;13107;5902488064268;MANGO ATAULFO ŚWIEŻE BIO (około 0,18 kg);1.00;szt;9,62;9,62;5,00;10,10;10,10
ZK 42969/W/01/2026;6256;5902650272828;MARCHEW ŚWIEŻA NIEMYTA BIO (POLSKA) (około 0,90 kg;1.00;szt;4,77;4,77;5,00;5,01;5,01
ZK 42969/W/01/2026;44578;5907745970078;PIEROGI Z MIĘSEM BEZGLUTENOWE 280 g - BEZGLUTENOV;4.00;szt;20,23;80,92;5,00;21,24;84,97
ZK 42969/W/01/2026;34382;5907518375369;PIEROGI Z SEREM I RODZYNKAMI BEZGLUTENOWE 275 g -;1.00;szt;17,34;17,34;5,00;18,21;18,21
ZK 42969/W/01/2026;31093;5907518375376;PIEROGI Z TRUSKAWKAMI 275 g - MAMA VEGE;2.00;szt;14,20;28,40;5,00;14,91;29,82
ZK 42969/W/01/2026;7996;5907814661999;SELER NACIOWY ŚWIEŻY BIO (około 0,30 kg);2.00;szt;5,79;11,58;5,00;6,08;12,16
