NazwaDokumentu;ProduktID;Kod;ProduktNazwa;Ilosc;Jednostka;Cena;Wartosc;VAT;CenaBrutto;WartoscBrutto
ZK 45952/W/01/2026;42451;5903794189188;BUTELKA MIEDZIANA HAMMER 950 ml - SATTVA;2.00;szt;82,32;164,64;23,00;101,25;202,51
ZK 45952/W/01/2026;20593;5903794180628;CZYŚCIK MIEDZIANY DO JĘZYKA - SATTVA;2.00;szt;12,88;25,76;23,00;15,84;31,68
ZK 45952/W/01/2026;4258;8595178206030;HERBATKA DLA DZIECI - KOPER BIO 20 x 1,5  APOTHEKE;4.00;szt;4,72;18,88;8,00;5,10;20,39
ZK 45952/W/01/2026;45170;4751022365818;KÓŁECZKA ZBOŻOWE KAKAOWE BIO 150 g - NORDCRUNCH;4.00;szt;5,06;20,24;5,00;5,31;21,25
ZK 45952/W/01/2026;47239;3383482310599;ODPLAMIACZ DO TKANIN NA BAZIE SZAREGO MYDŁA ECO 7;1.00;szt;15,30;15,30;23,00;18,82;18,82
ZK 45952/W/01/2026;6078;5998858706579;PALUSZKI SOLONE BEZGLUTENOWE BIO 45 g - BIOPONT;6.00;szt;3,27;19,62;5,00;3,43;20,60
ZK 45952/W/01/2026;44480;3800501908587;PASTA DO ZĘBÓW REMINERALIZUJĄCA SENSITIVE Z PŁYNN;3.00;szt;5,86;17,58;23,00;7,21;21,62
ZK 45952/W/01/2026;43271;4055297221467;SZAMPON DELIKATNY DO WRAŻLIWEJ SKÓRY GŁOWY PROBIO;2.00;szt;13,73;27,46;23,00;16,89;33,78
ZK 45952/W/01/2026;32863;5902706732719;WĘGIEL AKTYWNY PROSZEK 100 g - SOUL FARM;2.00;szt;11,56;23,12;8,00;12,48;24,97
ZK 45952/W/01/2026;556;4012346155302;ZIOŁA PROWANSALSKIE BIO 30 g - LEBENSBAUM;2.00;szt;8,08;16,16;8,00;8,73;17,45
