NazwaDokumentu;ProduktID;Kod;ProduktNazwa;Ilosc;Jednostka;Cena;Wartosc;VAT;CenaBrutto;WartoscBrutto
ZK 48872/W/01/2026;16201;4012346169408;CHILI PŁATKI BIO 45 g - LEBENSBAUM;2.00;szt;8,33;16,66;8,00;9,00;17,99
ZK 48872/W/01/2026;45895;4012346224503;HERBATKA OWOCOWE ZIMOWE CIEPŁO BIO (20 x 2 g) 40;2.00;szt;11,09;22,18;8,00;11,98;23,95
ZK 48872/W/01/2026;43337;5412360022854;TABLETKI NA PŁASKI BRZUCH BIO 45 szt. - PHYSALIS;1.00;szt;27,33;27,33;8,00;29,52;29,52
ZK 48872/W/01/2026;5598;8002885007558;WAFLE Z SORGO I AMARANTUSA BEZGLUTENOWE BIO 120 g;6.00;szt;5,95;35,70;5,00;6,25;37,49
