NazwaDokumentu;ProduktID;Kod;ProduktNazwa;Ilosc;Jednostka;Cena;Wartosc;VAT;CenaBrutto;WartoscBrutto
ZK 48870/W/01/2026;18573;5900900003215;BARSZCZ BIAŁY JAGLANY BEZGLUTENOWY KONCENTRAT BIO;4.00;szt;4,80;19,20;5,00;5,04;20,16
ZK 48870/W/01/2026;40509;5902431592015;BUŁKI DO HAMBURGERÓW Z SIEMIENIEM LNIANYM BEZGLUT;7.00;szt;5,74;40,18;5,00;6,03;42,19
ZK 48870/W/01/2026;19582;5906728420265;CIASTKA JAGLANE Z ŻURAWINĄ BEZGLUTENOWE BIO 150 g;2.00;szt;8,42;16,84;5,00;8,84;17,68
ZK 48870/W/01/2026;10079;5902175866052;CIECIERZYCA W ZALEWIE BIO 350 g(230 g)(SŁOIK)BIOPL;3.00;szt;5,25;15,75;5,00;5,51;16,54
ZK 48870/W/01/2026;29709;5902565215057;CZEKOLADA KETO KOKOSOWA Z OLEJEM MCT BEZ DODATKU;2.00;szt;8,80;17,60;23,00;10,82;21,65
ZK 48870/W/01/2026;2712;5907814664402;DAKTYLE SUSZONE BEZGLUTENOWE BIO 400 g -BIO PLANET;2.00;szt;9,75;19,50;5,00;10,24;20,48
ZK 48870/W/01/2026;15000;8717496900173;FASOLA BIAŁA DROBNA W ZALEWIE BIO 400 g (240 g) (P;4.00;szt;4,42;17,68;5,00;4,64;18,56
ZK 48870/W/01/2026;44639;5901866006517;FAWORKI BEZGLUTENOWE 100 g - GLUTENEX (PRODUKT SEZ;2.00;szt;12,54;25,08;5,00;13,17;26,33
ZK 48870/W/01/2026;2987;5907814660534;FIGI SUSZONE BIO 400 g - BIO PLANET;1.00;szt;24,38;24,38;5,00;25,60;25,60
ZK 48870/W/01/2026;44348;4030917056704;GULASZ WEGAŃSKI BEZGLUTENOWY BIO 330 ml - SANCHON;2.00;szt;10,16;20,32;8,00;10,97;21,95
ZK 48870/W/01/2026;11341;5907222061053;KASZKA 5 ZBÓŻ BEZ DODATKU CUKRÓW BIO 200 g - HELPA;2.00;szt;11,05;22,10;5,00;11,60;23,21
ZK 48870/W/01/2026;25604;7640104951292;KASZKA OWSIANA PEŁNOZIARNISTA BEZ DODATKU CUKRÓW P;2.00;szt;9,18;18,36;5,00;9,64;19,28
ZK 48870/W/01/2026;20301;5903917772242;KOMBUCHA Z SOKIEM Z DZIKIEJ RÓŻY (SHARE LOVE WILD;4.00;szt;7,95;31,80;5,00;8,35;33,39
ZK 48870/W/01/2026;2913;8713576004274;KREM ORZECHOWY MIX (3 ORZECHY) BIO 250 g TERRASANA;1.00;szt;21,46;21,46;5,00;22,53;22,53
ZK 48870/W/01/2026;41760;5904978670034;KREM Z ORZECHÓW LASKOWYCH I KAKAO BEZ DODATKU CUK;2.00;szt;17,94;35,88;23,00;22,07;44,13
ZK 48870/W/01/2026;35403;5904954645421;KULKI KUKURYDZIANE O SMAKU WANILIOWYM BEZGLUTENOW;2.00;szt;9,52;19,04;5,00;10,00;19,99
ZK 48870/W/01/2026;45796;5905951196022;LIZAK KULKA O SMAKU TRUSKAWKOWYM Z WITAMINĄ;14.00;szt;1,02;14,28;8,00;1,10;15,42
ZK 48870/W/01/2026;4669;8015602000367;MAKARON (SEMOLINOWY) LASAGNE BIO 250 g BIO IDEA;3.00;szt;4,84;14,52;5,00;5,08;15,25
ZK 48870/W/01/2026;24676;5907709955295;MANGO SUSZONE PLASTRY BIO 200 g - BATOM;1.00;szt;16,66;16,66;5,00;17,49;17,49
ZK 48870/W/01/2026;44768;5902425050866;MĄKA Z PŁASKURKI PEŁNOZIARNISTA BIO 1 kg - BIO PL;2.00;szt;11,70;23,40;5,00;12,29;24,57
ZK 48870/W/01/2026;4727;5907814664068;MIGDAŁY BIO 350 g - BIO PLANET;1.00;szt;20,62;20,62;5,00;21,65;21,65
ZK 48870/W/01/2026;25661;8019428007364;NAPÓJ KOKOSOWY BEZ DODATKU CUKRÓW BEZGLUTENOWY BIO;3.00;szt;6,20;18,60;5,00;6,51;19,53
ZK 48870/W/01/2026;25253;5906732622020;OGÓRKI KISZONE 810 g (450 g) - KROKUS;2.00;szt;13,39;26,78;5,00;14,06;28,12
ZK 48870/W/01/2026;5847;4260355580572;OLEJ KOKOSOWY VIRGIN BIO 400 ml - BIO PLANETE;1.00;szt;22,10;22,10;5,00;23,21;23,21
ZK 48870/W/01/2026;3544;8009004500037;OLIWA Z OLIWEK EXTRA VIRGIN BIO 750 ml - ALCE NERO;1.00;szt;50,15;50,15;5,00;52,66;52,66
ZK 48870/W/01/2026;46883;8011845006050;OLIWA Z OLIWEK EXTRA VIRGIN FENOLIO PDO TERRA DI;1.00;szt;38,97;38,97;5,00;40,92;40,92
ZK 48870/W/01/2026;2732;5907814661302;ORZECHY BRAZYLIJSKIE BIO 150 g - BIO PLANET;1.00;szt;17,48;17,48;5,00;18,35;18,35
ZK 48870/W/01/2026;219;5902175866496;ORZECHY LASKOWE BIO 350 g - BIO PLANET;1.00;szt;30,75;30,75;5,00;32,29;32,29
ZK 48870/W/01/2026;4000;5907814661029;ORZECHY NERKOWCA BIO 350 g - BIO PLANET;1.00;szt;20,25;20,25;5,00;21,26;21,26
ZK 48870/W/01/2026;351;5902605414044;ORZECHY WŁOSKIE BIO 300 g - BIO PLANET;2.00;szt;15,75;31,50;5,00;16,54;33,08
ZK 48870/W/01/2026;5593;5902741006318;PAPRYKA SŁODKA WĘDZONA BIO 50 g - DARY NATURY;2.00;szt;9,94;19,88;8,00;10,74;21,47
ZK 48870/W/01/2026;25311;5906732620408;PASTA Z BURAKÓW ZE SŁONECZNIKIEM BEZGLUTENOWA 180;3.00;szt;5,99;17,97;5,00;6,29;18,87
ZK 48870/W/01/2026;9373;5902596076467;PASZTET WEGAŃSKI Z PIECZONYMI WARZYWAMI B- VEGA UP;4.00;szt;5,14;20,56;5,00;5,40;21,59
