NazwaDokumentu;ProduktID;Kod;ProduktNazwa;Ilosc;Jednostka;Cena;Wartosc;VAT;CenaBrutto;WartoscBrutto
ZK 41341/W/01/2026;5907;5902650274570;BROKUŁY ŚWIEŻE BIO (około 0,50 kg);1.00;szt;7,66;7,66;5,00;8,04;8,04
ZK 41341/W/01/2026;12758;5902488062899;KARCZOCH ŚWIEŻY BIO (około 0,15 kg);8.00;szt;3,94;31,52;5,00;4,14;33,10
ZK 41341/W/01/2026;13107;5902488064268;MANGO ATAULFO ŚWIEŻE BIO (około 0,18 kg);4.00;szt;9,62;38,48;5,00;10,10;40,40
ZK 41341/W/01/2026;6256;5902650272828;MARCHEW ŚWIEŻA NIEMYTA BIO (POLSKA) (około 0,90 kg;1.00;szt;4,77;4,77;5,00;5,01;5,01
