Kod;Ilosc;Cena;CenaBrutto;NazwaDokumentu;ProduktID;ProduktNazwa;Jednostka;VAT;Wartosc;WartoscBrutto
71SYLPLYDP;1,00;14,86;18,28;FS 3637/02/2026;2998;Płyn do płukania jamy ustnej ziołowy 500ml SYLVECO;szt;23,00;14,86;18,28
71FITSZTTL;7,00;12,39;15,24;FS 3637/02/2026;3754;Szampon tradycyjny d/wł. tłustych FITOMED;szt;23,00;86,73;106,68
31ANGMNIKS;1,00;8,00;8,40;FS 3637/02/2026;7131;Mniszek lekarski korzeń 100g DARY NATURY;szt;5,00;8,00;8,40
21STAZDRMRO;1,00;8,66;9,35;FS 3637/02/2026;5228;Zdrowy lizak różne smaki 7 sztuk + nakl STARPHARMA;szt;8,00;8,66;9,35
11VISSUSPC;2,00;3,90;4,21;FS 3637/02/2026;1071;Suszone pomidory+czosnek+bazylia 25g VISANA;szt;8,00;7,80;8,42
21FAXMASZYR1;1,00;17,16;21,11;FS 3637/02/2026;1251;FarmVix Ma¶ć z Żyworódki 150ml;szt;23,00;17,16;21,11
31FLOMECZE;3,00;4,91;5,30;FS 3637/02/2026;3790;Męczennica ziele 50g FLOS;szt;8,00;14,73;15,91
34NATZIOBL;2,00;10,89;11,76;FS 3637/02/2026;2345;NATURA-WITA Błonnik naturalnie witalny 200g;szt;8,00;21,78;23,52
11BIPBIPAN;1,00;6,34;6,66;FS 3637/02/2026;281;BIO PLANET Amarantus nasiona BIO 500g;szt;5,00;6,34;6,66
11CELBATMAL;1,00;2,67;2,80;FS 3637/02/2026;7896;Baton FRUPP malina 10g CELIKO;szt;5,00;2,67;2,80
11MYCLIONS;1,00;46,59;50,32;FS 3637/02/2026;6984;Lion's Mane BIO 100g MYCOLIFE;szt;8,00;46,59;50,32
11SIDGUMMP;1,00;3,75;4,05;FS 3637/02/2026;4586;CHEWSY Gumy do żucia mięta pieprz. z ksyl. 15g;szt;8,00;3,75;4,05
11SIMNAPKO;2,00;13,64;14,73;FS 3637/02/2026;6352;PIĘĆ PRZEMIAN Napój kokosowy w proszku BIO 200g;szt;8,00;27,28;29,46
11MIXVZELMAN;2,00;5,73;6,02;FS 3637/02/2026;7868;VERI BERI Żelki mango i marakuja b/c b/g 50g;szt;5,00;11,46;12,03
11BIPBIPPP1;1,00;5,70;5,99;FS 3637/02/2026;5960;BIO PLANET Płatki owsiane GÓRSKIE BIO 600g;szt;5,00;5,70;5,99
11BARMORKPS;2,00;4,42;4,64;FS 3637/02/2026;7779;BARTOLINI Makaron orkiszowy pełn. ¶wider BIO 250g;szt;5,00;8,84;9,28
71ROSTRIPMI;1,00;9,58;11,78;FS 3637/02/2026;7961;TRIUGA Pasta do zębów ajurw. Miswak 100g;szt;23,00;9,58;11,78
31DARROZ30B;1,00;4,54;4,77;FS 3637/02/2026;7249;Rozmaryn BIO 30g DARY NATURY;szt;5,00;4,54;4,77
21ASTSARSA;1,00;9,29;9,75;FS 3637/02/2026;3315;ASTRON Sarsaparilla - kora 100g;szt;5,00;9,29;9,75
11ROYPASWB;1,00;23,58;25,47;FS 3637/02/2026;5204;Pasta waniliowa BIO słoik 50g ROYAL BRAND;szt;8,00;23,58;25,47
31DARGOZMIB;1,00;9,08;9,81;FS 3637/02/2026;7813;GoĽdziki mielone BIO 30g DARY NATURY;szt;8,00;9,08;9,81
11BIFOCEJ13;1,00;6,75;8,30;FS 3637/02/2026;3915;BIO FOOD Ocet jabłkowy niefiltrowany BIO 500ml;szt;23,00;6,75;8,30
21SUZLIMFA;3,00;19,58;21,15;FS 3637/02/2026;7186;LIMFA 60 kaps. ZIELARZPOLSKI.PL;szt;8,00;58,74;63,44
11BIPAMYGC;1,00;3,42;3,69;FS 3637/02/2026;4030;AMYLON Galaretka cytrynowa bezglutenowa BIO 40g;szt;8,00;3,42;3,69
71KORMYDAA;3,00;9,03;11,11;FS 3637/02/2026;2800;KORANA mydło w płynie naturalne 500ml (dozownik);szt;23,00;27,09;33,32
21SUZLIMFA;7,00;19,58;21,15;FS 3637/02/2026;7186;LIMFA 60 kaps. ZIELARZPOLSKI.PL;szt;8,00;137,06;148,02
11BARMPLAJS;4,00;6,24;6,55;FS 3637/02/2026;7777;BARTOLINI Makaron z płask. jasny ¶widerek BIO 250g;szt;5,00;24,96;26,21
11CELBUDSM;1,00;0,85;0,89;FS 3637/02/2026;7908;Budyń ¶mietankowy b/g b/c 40g CELIKO;szt;5,00;0,85;0,89
