Kod;Ilosc;Cena;CenaBrutto;NazwaDokumentu;ProduktID;ProduktNazwa;Jednostka;VAT;Wartosc;WartoscBrutto
PERSEA31MALWCZ;2,00;12,13;12,74;FS 3591/02/2026;6176;Malwa czarna kwiat 50g ZIELARZPOLSKI.PL;szt;5,00;24,26;25,47
PERSEA31SKRPO;1,00;5,39;5,66;FS 3591/02/2026;6215;Skrzyp polny 50g ZIELARZPOLSKI.PL;szt;5,00;5,39;5,66
PERSEA31PIEPCZAZI;1,00;6,55;7,07;FS 3591/02/2026;6195;Pieprz czarny ziarno 50g ZIELARZPOLSKI.PL;szt;8,00;6,55;7,07
PERSEA33SPOHE;1,00;22,74;24,56;FS 3591/02/2026;6456;Spokój - herbatka ziołowa 100g ZIELARZPOLSKI.PL;szt;8,00;22,74;24,56
PERSEA31CYNCEJMI;1,00;10,49;11,33;FS 3591/02/2026;6226;Cynamon cejloński mielony 50g ZIELARZPOLSKI.PL;szt;8,00;10,49;11,33
