
Kod;Cena;CenaBrutto;NazwaDokumentu;ProduktID;ProduktEAN;ProduktNazwa;Ilosc;Jednostka;VAT;Wartosc;WartoscBrutto
04630;11,57;12,15;(S)FS-26/02/1884;388;5908249971752;Pietruszka BIO 1 kg #;1.000000;kg;5,00;11,57;12,15
10776;4,99;6,14;(S)FS-26/02/1884;4579;5000204246438;Płyn do mycia naczyń POMEGRANATE & FIG 450ml;1.000000;szt.;23,00;4,99;6,14
12475;3,73;4,59;(S)FS-26/02/1884;6477;6430034672388;Płyn do mycia naczyń sensitiv 500 ml;1.000000;szt.;23,00;3,73;4,59
12475;3,73;4,59;(S)FS-26/02/1884;6477;6430034672388;Płyn do mycia naczyń sensitiv 500 ml;2.000000;szt.;23,00;7,46;9,18
10698;4,99;5,24;(S)FS-26/02/1884;4484;5201704002702;Roślinna alternatywa sera żółtego- plastry 140 g;2.000000;szt.;5,00;9,98;10,48
10779;6,38;7,85;(S)FS-26/02/1884;4582;5000204247152;Płyn do zmiękczania tkanin Gardenia & Vanilla 750 ml;3.000000;szt.;23,00;19,14;23,54
06376;9,79;10,28;(S)FS-26/02/1884;1149;5906395043033;Ogórki kiszone BIO 500 g/1 kg;5.000000;szt.;5,00;48,95;51,40
10153;5,69;5,97;(S)FS-26/02/1884;3847;10153;Jabłka Idared BIO 1 kg #;9.440000;kg;5,00;53,71;56,40
06239;3,78;3,97;(S)FS-26/02/1884;1094;5908249972193;Płatki orkiszowe BIO 300 g;1.000000;szt.;5,00;3,78;3,97
10032;5,93;6,23;(S)FS-26/02/1884;3681;5908249977440;Jaja przepiórcze 18 szt.;1.000000;szt.;5,00;5,93;6,23
12546;10,29;10,80;(S)FS-26/02/1884;6548;787099255411;Podpaski higieniczne bambusowe ze skrzydełkami (10 podpasek na dzień + 5 podpasek na noc);1.000000;szt.;5,00;10,29;10,80
12471;5,51;6,78;(S)FS-26/02/1884;6473;6430034679615;Płyn do mycia szyb sensitiv 500 ml;1.000000;szt.;23,00;5,51;6,78
11968;4,11;4,44;(S)FS-26/02/1884;5946;8586001012720;Pasta z tofu smalczyk z cebulką 150g;2.000000;szt.;8,00;8,22;8,88
06991;7,26;7,62;(S)FS-26/02/1884;1440;5908249973183;Pomarańcze BIO IMPORT 1 kg #;3.300000;kg;5,00;23,96;25,16
12502;12,37;12,99;(S)FS-26/02/1884;6504;782126003089;Podpaski ze skrzydełkami super 12 szt.;1.000000;szt.;5,00;12,37;12,99
12412;9,98;12,28;(S)FS-26/02/1884;6414;4019886016131;Płyn do płukania tkanin lawenda BIO 750 ml;1.000000;szt.;23,00;9,98;12,28
12410;21,78;26,79;(S)FS-26/02/1884;6412;4019886015509;Płyn do prania tkanin sportowych i membranowych BIO 750 ml;2.000000;szt.;23,00;43,56;53,58
05383;5,21;5,47;(S)FS-26/02/1884;670;5908249976740;Pieczarka biała BIO 250g #;4.000000;szt.;5,00;20,84;21,88
11341;14,21;14,92;(S)FS-26/02/1884;5226;5905563491010;Kimchi classic JONGGA 520g ( DOYPACK);5.000000;szt.;5,00;71,05;74,60
10269;4,01;4,33;(S)FS-26/02/1884;3986;5908249977495;Tofu naturalne BIO 180 g;11.000000;szt.;8,00;44,11;47,64
10780;6,38;7,85;(S)FS-26/02/1884;4583;5000204247039;Płyn do zmiękczania tkanin Apple Blossom & Almond 750ml;1.000000;szt.;23,00;6,38;7,85
12411;9,98;12,28;(S)FS-26/02/1884;6413;4019886016063;Płyn do płukania tkanin brzoskwinia BIO 750 ml;1.000000;szt.;23,00;9,98;12,28
12775;6,60;8,12;(S)FS-26/02/1884;6782;6430034679585;Płyn do płukania Sensitive 1,5 l;1.000000;szt.;23,00;6,60;8,12
07894;5,45;5,72;(S)FS-26/02/1884;1959;5908249976771;Pieczarka brązowa BIO 250 g #;2.000000;szt.;5,00;10,90;11,45
09841;26,54;27,87;(S)FS-26/02/1884;3428;5904722221123;Kimchi Classic spicy 900 g;2.000000;szt.;5,00;53,08;55,73
10271;4,01;4,33;(S)FS-26/02/1884;3989;5908249977211;Tofu naturalne BIO 180 g;2.000000;szt.;8,00;8,02;8,66
04864;4,58;4,81;(S)FS-26/02/1884;465;5908249971684;Burak BIO 1 kg #;1.000000;kg;5,00;4,58;4,81
12644;4,78;5,88;(S)FS-26/02/1884;6646;3800500324012;Szczoteczka do zębów bambusowa, średnia, czarna 18.8cm;1.000000;szt.;23,00;4,78;5,88
10270;4,50;4,86;(S)FS-26/02/1884;3988;5908249977501;Tofu wędzone BIO 180 g;3.000000;szt.;8,00;13,50;14,58
12376;4,52;5,56;(S)FS-26/02/1884;6378;3265660392002;Płatki kosmetyczne, kwadratowe 40szt BIO;7.000000;szt.;23,00;31,64;38,92
