NazwaDokumentu;ProduktID;Kod;ProduktNazwa;Ilosc;Jednostka;Cena;Wartosc;VAT;CenaBrutto;WartoscBrutto
FS 16794/W/2026;5951;5907814661272;ANANAS ŚWIEŻY BIO (około 0,80 kg);1.00;szt;10,09;10,09;5,00;10,59;10,59
FS 16794/W/2026;32107;5908445472398;AWOKADO ŚWIEŻE BIO (siatka 5 szt.);1.00;szt;16,59;16,59;5,00;17,42;17,42
FS 16794/W/2026;17303;5907814663979;AWOKADO ŚWIEŻE BIO (tacka 2 szt.);1.00;szt;7,32;7,32;5,00;7,69;7,69
FS 16794/W/2026;40501;5902431592091;BAJGLE Z MAKIEM BEZGLUTENOWE (2 szt.) 190 g - I;6.00;szt;8,88;53,28;5,00;9,32;55,94
FS 16794/W/2026;40502;5902431592114;BAJGLE Z SIEMIENIEM LNIANYM BEZGLUTENOWE 190 g INC;6.00;szt;8,88;53,28;5,00;9,32;55,94
FS 16794/W/2026;46445;3800233783063;BATONIK Z NADZIENIEM ORZECHOWYM W CZEKOLADZIE BIO;4.00;szt;4,25;17,00;23,00;5,23;20,91
FS 16794/W/2026;24396;5903794185807;BRANSOLETKA MIEDZIANA 1090 - SATTVA (AYURVEDA);1.00;szt;24,31;24,31;23,00;29,90;29,90
FS 16794/W/2026;10961;4000345051138;BULION - KOSTKI WOŁOWE BEZ DODATKU CUKRÓWCOMPAGNIE;3.00;szt;6,38;19,14;5,00;6,70;20,10
FS 16794/W/2026;17223;4744481012010;BULION DROBIOWY W PŁYNIE BEZGLUTENOWY BIO 350 ml;4.00;szt;8,25;33,00;5,00;8,66;34,65
FS 16794/W/2026;45472;5902431593937;BUŁKA KAJZERKA XL BEZGLUTENOWA 240 g - INCOLA;6.00;szt;10,24;61,44;5,00;10,75;64,51
FS 16794/W/2026;47133;5907623359100;BUŁKI KAJZERKI BEZGLUTENOWE (4 szt.) 240 g - WISO;5.00;szt;7,14;35,70;5,00;7,50;37,49
FS 16794/W/2026;40511;5902431590738;BUŁKI KAJZERKI BEZGLUTENOWE 120 g - INCOLA;4.00;szt;6,80;27,20;5,00;7,14;28,56
FS 16794/W/2026;40511;5902431590738;BUŁKI KAJZERKI BEZGLUTENOWE 120 g - INCOLA;3.00;szt;6,80;20,40;5,00;7,14;21,42
FS 16794/W/2026;47134;5907623359087;BUŁKI KAJZERKI WIELOZIARNISTE BEZGLUTENOWE 240 g;4.00;szt;7,86;31,44;5,00;8,25;33,01
FS 16794/W/2026;40500;5902431591407;BUŁKI ŚNIADANIOWE BEZGLUTENOWE 120 g - INCOLA;3.00;szt;7,61;22,83;5,00;7,99;23,97
FS 16794/W/2026;6560;5902650272804;BURAK CZERWONY ŚWIEŻY BIO (POLSKA) (około 1,00 kg);7.00;szt;3,61;25,27;5,00;3,79;26,53
FS 16794/W/2026;6442;258884;CEBULA CZERWONA ŚWIEŻA BIO (około 1,00 kg);1.075;kg;7,20;7,74;5,00;7,56;8,13
FS 16794/W/2026;6470;5902650272811;CEBULA ŻÓŁTA ŚWIEŻA BIO (POLSKA) (około 1,00 kg);1.00;szt;4,58;4,58;5,00;4,81;4,81
FS 16794/W/2026;6470;5902650272811;CEBULA ŻÓŁTA ŚWIEŻA BIO (POLSKA) (około 1,00 kg);1.00;szt;4,58;4,58;5,00;4,81;4,81
FS 16794/W/2026;44379;8936181660424;CHIPSY NORI KIMCHI BEZGLUTENOWE 4,5 g - SEN SOY;9.00;szt;2,25;20,25;5,00;2,36;21,26
FS 16794/W/2026;3938;8718754502054;CHIPSY ZIEMNIACZANE O SMAKU PAPRYKOWYM BIO 125;3.00;szt;6,55;19,65;5,00;6,88;20,63
FS 16794/W/2026;40461;5901866005916;CHLEB OWSIANY BEZGLUTENOWY 430 g - GLUTENEX;2.00;szt;12,20;24,40;5,00;12,81;25,62
FS 16794/W/2026;47500;8005221302904;CHLEB TOSTOWY PROTEINOWY KROJONY 400 g - IL BUON;1.00;szt;5,87;5,87;5,00;6,16;6,16
FS 16794/W/2026;7250;8002885007916;CHRUPKI GRYCZANE PIRAMIDKI Z QUINOA I AMARANTUSEM;4.00;szt;5,53;22,12;5,00;5,81;23,23
FS 16794/W/2026;46940;4262367684569;CHRUPKI KUKURYDZIANO - WARZYWNE OD 1 ROKU BIO 30;4.00;szt;5,65;22,60;5,00;5,93;23,73
FS 16794/W/2026;32155;5907652545543;CHRUPKI PIRAMIDKI PROTEINOWE O SMAKU POMIDORA Z B;5.00;szt;3,19;15,95;5,00;3,35;16,75
FS 16794/W/2026;32156;5904730218344;CHRUPKI PIRAMIDKI PROTEINOWE O SMAKU SERA I CEBULI;5.00;szt;2,89;14,45;5,00;3,03;15,17
FS 16794/W/2026;40541;5904730218139;CHRUPKI PIRAMIDKI PROTEINOWE O SMAKU SŁODKIEJ PAPR;5.00;szt;2,89;14,45;5,00;3,03;15,17
FS 16794/W/2026;21105;4260229160305;CIASTO FRANCUSKIE MAŚLANE BIO 275 g - DONAU STRUD;2.00;szt;12,07;24,14;5,00;12,67;25,35
FS 16794/W/2026;45200;4260229160428;CIASTO FRANCUSKIE ORKISZOWE BIO 270 g - DONAU STR;2.00;szt;11,31;22,62;5,00;11,88;23,75
FS 16794/W/2026;6207;8713576114133;COCONUT MILK - NAPÓJ KOKOS BEZ GUMY 200- TERRASANA;3.00;szt;7,01;21,03;8,00;7,57;22,71
FS 16794/W/2026;1930;5903900368681;CYTRYNY ŚWIEŻE BIO (około 1,00 kg);1.00;szt;9,69;9,69;5,00;10,17;10,17
FS 16794/W/2026;46417;4044889005264;CZEKOLADA GORZKA 85% BIO 80 g - VIVANI;2.00;szt;8,76;17,52;23,00;10,77;21,55
