NazwaDokumentu;ProduktID;Kod;ProduktNazwa;Ilosc;Jednostka;Cena;Wartosc;VAT;CenaBrutto;WartoscBrutto
FS 16455/W/2026;6256;5902650272828;MARCHEW ŚWIEŻA NIEMYTA BIO (POLSKA) (około 0,90 kg;1.00;szt;4,77;4,77;5,00;5,01;5,01
FS 16455/W/2026;4224;5907814664822;MĄKA ORKISZOWA RAZOWA TYP 2000 BIO 1 kg BIO PLANET;5.00;szt;8,25;41,25;5,00;8,66;43,31
FS 16455/W/2026;4224;5907814664822;MĄKA ORKISZOWA RAZOWA TYP 2000 BIO 1 kg BIO PLANET;5.00;szt;8,25;41,25;5,00;8,66;43,31
FS 16455/W/2026;34932;7640161877351;MUS SILNA PAPUGA (GRUSZKA - JABŁKO - SZPINAK) BEZ;5.00;szt;3,87;19,35;5,00;4,06;20,32
FS 16455/W/2026;46504;7640230493819;MUS SŁODKI LENIWIEC (BATAT - ŚLIWKA - DYNIA - TRU;4.00;szt;4,29;17,16;5,00;4,50;18,02
FS 16455/W/2026;46507;7640230493666;MUS TAŃCZĄCY DINOZAUR JABŁKO Z BORÓWKAMI I ŚLIWKĄ;5.00;szt;3,95;19,75;5,00;4,15;20,74
FS 16455/W/2026;2624;4038375024396;NAPÓJ OWSIANY BEZ DODATKU CUKRÓW BIO 1 L - NATUMI;4.00;szt;5,78;23,12;5,00;6,07;24,28
FS 16455/W/2026;25652;8019428000013;NAPÓJ RYŻOWY BEZ DODATKU CUKRÓW BEZGLUTENOWY BIO 1;3.00;szt;6,72;20,16;5,00;7,06;21,17
FS 16455/W/2026;45017;59099109;NATURALNA WODA MINERALNA NISKOGAZOWANA 1 L - MILA;36.00;szt;5,31;191,16;23,00;6,53;235,13
FS 16455/W/2026;5974;5907814661470;OGÓREK DŁUGI ŚWIEŻY BIO (około 0,35 kg);2.00;szt;7,74;15,48;5,00;8,13;16,25
FS 16455/W/2026;1792;8029689004217;OLIWKI CZARNE BEZ PESTEK W ZALEWIE BIO 280 g (150;2.00;szt;8,71;17,42;5,00;9,15;18,29
FS 16455/W/2026;1791;8029689003999;OLIWKI ZIELONE BEZ PESTEK W ZALEWIE BIO 280 g (150;2.00;szt;8,71;17,42;5,00;9,15;18,29
FS 16455/W/2026;44993;5904538034351;OWOCOWE DODATKI DO MUSLI I DESERÓW JUNIOR BIO 20 g;4.00;szt;7,78;31,12;5,00;8,17;32,68
FS 16455/W/2026;44997;5904538034368;OWOCOWE DODATKI DO MUSLI I DESERÓW NATURALNE PIĘKN;3.00;szt;6,33;18,99;5,00;6,65;19,94
FS 16455/W/2026;26855;5902367404840;PALUSZKI GRISSINI Z OLEJEM SŁONECZ. 125g-VITALIAN;6.00;szt;2,98;17,88;5,00;3,13;18,77
