
Kod;Cena;CenaBrutto;NazwaDokumentu;ProduktID;ProduktEAN;ProduktNazwa;Ilosc;Jednostka;VAT;Wartosc;WartoscBrutto
07894;5,45;5,72;(S)FS-26/02/2090;1959;5908249976771;Pieczarka brązowa BIO 250 g #;1.000000;szt.;5,00;5,45;5,72
10270;4,50;4,86;(S)FS-26/02/2090;3988;5908249977501;Tofu wędzone BIO 180 g;1.000000;szt.;8,00;4,50;4,86
12375;3,67;4,51;(S)FS-26/02/2090;6377;3265660391173;Płatki kosmetyczne, okrągłe 80szt BIO;1.000000;szt.;23,00;3,67;4,51
12546;10,29;10,80;(S)FS-26/02/2090;6548;787099255411;Podpaski higieniczne bambusowe ze skrzydełkami (10 podpasek na dzień + 5 podpasek na noc);3.000000;szt.;5,00;30,87;32,41
11510;4,89;5,13;(S)FS-26/02/2090;5421;5908249979499;Płatki kukurydziane bez dodatku cukru BEZGL. BIO 250 g;2.000000;szt.;5,00;9,78;10,27
09003;6,63;6,96;(S)FS-26/02/2090;2735;5906395043262;Sok z ogórków kiszonych BIO 500 ml;5.000000;szt.;5,00;33,15;34,81
12399;11,51;14,16;(S)FS-26/02/2090;6401;4019886001007;Płyn do czyszczenia na bazie octu BIO 1000 ml;2.000000;szt.;23,00;23,02;28,31
11438;4,38;4,60;(S)FS-26/02/2090;5343;5900900003376;Żywy zakwas z buraków ćwikłowych bezglutenowy BIO 320;13.000000;szt.;5,00;56,94;59,79
07985;5,42;5,69;(S)FS-26/02/2090;2006;8008698024188;Pan Rustico- chleb wiejski BEZGL. 250 g;2.000000;szt.;5,00;10,84;11,38
11732;6,62;6,95;(S)FS-26/02/2090;5668;5904261538065;Zakwas z buraków kiszonych BIO 500 ml;8.000000;szt.;5,00;52,96;55,61
12544;6,83;8,40;(S)FS-26/02/2090;6546;8005892346498;Papier ekologiczny toaletowy econatural, 100% celuloza, 2 warstwy, 4 rolki, 400 listków;1.000000;szt.;23,00;6,83;8,40
08054;7,19;7,55;(S)FS-26/02/2090;2062;5701977062514;Smarowidło wegańskie bez oleju palmowego BIO 225 g;8.000000;szt.;5,00;57,52;60,40
04910;5,66;5,94;(S)FS-26/02/2090;494;5908249970557;Passata pomidorowa BIO 680 g;1.000000;szt.;5,00;5,66;5,94
11495;7,68;8,29;(S)FS-26/02/2090;5403;5905811977068;Roślinny Tuńczyk 150 g;3.000000;szt.;8,00;23,04;24,88
10700;6,16;6,47;(S)FS-26/02/2090;4486;5201704002818;Roślinna alternatywa sera białego- kostka 200 g;1.000000;szt.;5,00;6,16;6,47
12468;12,40;15,25;(S)FS-26/02/2090;6470;4740060015571;Płyn do prania color all-care 1.65 l;2.000000;szt.;23,00;24,80;30,50
