Kod;Ilosc;Cena;CenaBrutto;NazwaDokumentu;ProduktID;ProduktNazwa;Jednostka;VAT;Wartosc;WartoscBrutto
21SUPMNILE;1,00;15,99;17,27;FS 3730/02/2026;8182;Mniszek lekarski ekstrakt 400mg, 60kaps. SUPLIIV;szt;8,00;15,99;17,27
11BIPBIPRN1;1,00;12,71;13,35;FS 3730/02/2026;5964;BIO PLANET Ryż ja¶minowy biały b/g BIO 1kg;szt;5,00;12,71;13,35
34NATZIOBL;2,00;10,89;11,76;FS 3730/02/2026;2345;NATURA-WITA Błonnik naturalnie witalny 200g;szt;8,00;21,78;23,52
31DAROREKO;1,00;4,44;4,66;FS 3730/02/2026;5954;Oregano BIO 20g DARY NATURY;szt;5,00;4,44;4,66
11CELKAKEC;1,00;5,12;6,30;FS 3730/02/2026;7925;Kakao ekstra ciemne b/g 80g CELIKO;szt;23,00;5,12;6,30
31DARTYM20B;1,00;3,79;4,09;FS 3730/02/2026;7240;Tymianek BIO 20g DARY NATURY;szt;8,00;3,79;4,09
21SUPSENLI;2,00;5,70;6,16;FS 3730/02/2026;6783;SENLIIV - zdrowy sen 60 kaps.;szt;8,00;11,40;12,31
34MALMELPO;1,00;4,24;4,58;FS 3730/02/2026;2304;Melisa z pomarańcz± 25*2g fix MALWA;szt;8,00;4,24;4,58
21SUPDEPR;3,00;5,90;6,37;FS 3730/02/2026;6782;DEPRELIIV - układ nerwowy, dobry nastrój 60 kaps.;szt;8,00;17,70;19,12
11UNISUPS5;1,00;10,94;11,82;FS 3730/02/2026;6586;SUPERSÓL Minerały do solenia 500g UNIPHAR;szt;8,00;10,94;11,82
11EKOKULKW;1,00;4,58;5,63;FS 3730/02/2026;5300;Kulki - Kakao & Wi¶nia 58g DK KUBARA;szt;23,00;4,58;5,63
31DARPIECM;2,00;6,17;6,66;FS 3730/02/2026;1969;Pieprz czarny mielony 50g DARY NATURY;szt;8,00;12,34;13,33
21SANMYDPLOLD;1,00;11,79;14,50;FS 3730/02/2026;6339;SANBIOS Mydło z olejkiem z drzewa herbacian. 300ml;szt;23,00;11,79;14,50
71ROSBISKO;1,00;28,31;34,82;FS 3730/02/2026;5411;BISZOFIT POŁTAWSKI Koncentrat do k±pieli 1000ml;szt;23,00;28,31;34,82
11DIESOCKI;1,00;3,52;3,70;FS 3730/02/2026;565;Soczewica na kiełki 160g DIETFOOD;szt;5,00;3,52;3,70
71SYZPLYPLK;1,00;13,88;17,07;FS 3730/02/2026;5489;ZIELKO Płyn do płukania kwiatowy 1000ml;szt;23,00;13,88;17,07
