
Kod;Cena;CenaBrutto;NazwaDokumentu;ProduktID;ProduktEAN;ProduktNazwa;Ilosc;Jednostka;VAT;Wartosc;WartoscBrutto
12373;4,38;5,39;(S)FS-26/02/2218;6375;3265660397007;Patyczki kosmetyczne 200szt BIO;1.000000;szt.;23,00;4,38;5,39
05119;9,16;9,62;(S)FS-26/02/2218;556;8008698004753;Pan Grati- bułka tarta BEZGL. 300 g;2.000000;szt.;5,00;18,32;19,24
06970;8,18;8,59;(S)FS-26/02/2218;1420;5908249973190;Grejpfrut Czerwony/Różowy BIO IMPORT 1 kg #;3.100000;kg;5,00;25,36;26,63
11385;7,94;8,58;(S)FS-26/02/2218;5271;5905811977020;Plantway Ku*czak indyjski curry 160 g;5.000000;szt.;8,00;39,70;42,88
12312;5,15;5,41;(S)FS-26/02/2218;6314;7640230494205;Słoiczek szpinak z ziemniakami od 5 m-ca życia BIO 190 g;10.000000;szt.;5,00;51,50;54,08
10153;5,69;5,97;(S)FS-26/02/2218;3847;10153;Jabłka Idared BIO 1 kg #;1.200000;kg;5,00;6,83;7,17
11384;7,94;8,58;(S)FS-26/02/2218;5270;5905811977013;Plantway Ku*czak roślinny klasyk 160 g;2.000000;szt.;8,00;15,88;17,15
11270;2,99;3,14;(S)FS-26/02/2218;5151;5908249979345;Paluszki z samopszy pełnoziarniste BIO 50 g;3.000000;szt.;5,00;8,97;9,42
12375;3,67;4,51;(S)FS-26/02/2218;6377;3265660391173;Płatki kosmetyczne, okrągłe 80szt BIO;10.000000;szt.;23,00;36,70;45,14
10269;4,01;4,33;(S)FS-26/02/2218;3986;5908249977495;Tofu naturalne BIO 180 g;1.000000;szt.;8,00;4,01;4,33
11268;2,99;3,14;(S)FS-26/02/2218;5149;5908249979338;Paluszki orkiszowe pełnoziarniste BIO 50 g;2.000000;szt.;5,00;5,98;6,28
12546;10,29;10,80;(S)FS-26/02/2218;6548;787099255411;Podpaski higieniczne bambusowe ze skrzydełkami (10 podpasek na dzień + 5 podpasek na noc);3.000000;szt.;5,00;30,87;32,41
11269;2,99;3,14;(S)FS-26/02/2218;5150;5908249979321;Paluszki owsiane pełnoziarniste z kurkumą BIO 50 g;1.000000;szt.;5,00;2,99;3,14
11495;7,68;8,29;(S)FS-26/02/2218;5403;5905811977068;Roślinny Tuńczyk 150 g;3.000000;szt.;8,00;23,04;24,88
12378;10,18;12,52;(S)FS-26/02/2218;6380;3265660399209;Ręczniczki higieniczne bawełniane suche dla dzieci i niemowląt 50szt BIO;3.000000;szt.;23,00;30,54;37,56
10572;10,47;10,99;(S)FS-26/02/2218;4326;5908228980188;Kapusta kiszona BIO 900 ml;2.000000;szt.;5,00;20,94;21,99
12742;9,64;10,12;(S)FS-26/02/2218;6749;7330933176934;Ekologiczne wkładki higieniczne, Normal, 32 sztuki;5.000000;szt.;5,00;48,20;50,61
06237;7,89;8,28;(S)FS-26/02/2218;1092;5908249972179;Płatki kukurydziane BIO 300 g;11.000000;szt.;5,00;86,79;91,13
12389;11,64;14,32;(S)FS-26/02/2218;6391;4019886019002;Płyn do mycia szyb i powierzchni szklanych BIO 500 ml;1.000000;szt.;23,00;11,64;14,32
11437;8,01;8,41;(S)FS-26/02/2218;5342;5900900003024;Kapusta kiszona niepasteryzowana BIO 540 ml;6.000000;szt.;5,00;48,06;50,46
11933;8,29;8,95;(S)FS-26/02/2218;5898;5905186421869;Bezmięsne Parówki Premium 160g;2.000000;szt.;8,00;16,58;17,91
11510;4,89;5,13;(S)FS-26/02/2218;5421;5908249979499;Płatki kukurydziane bez dodatku cukru BEZGL. BIO 250 g;11.000000;szt.;5,00;53,79;56,48
12350;5,76;6,05;(S)FS-26/02/2218;6352;4260133231351;Paluchy wielozbożowe, truskawkowo-bananowe po 8 miesiącu BIO 30 g;1.000000;szt.;5,00;5,76;6,05
11341;14,21;14,92;(S)FS-26/02/2218;5226;5905563491010;Kimchi classic JONGGA 520g ( DOYPACK);25.000000;szt.;5,00;355,25;373,01
09844;12,32;12,94;(S)FS-26/02/2218;3431;5904722221017;Kimchi Classic Mild 300 g;2.000000;szt.;5,00;24,64;25,87
