
Kod;Cena;CenaBrutto;NazwaDokumentu;ProduktID;ProduktEAN;ProduktNazwa;Ilosc;Jednostka;VAT;Wartosc;WartoscBrutto
04846;4,03;4,23;ZS-26/02/4239;461;5908249971806;Ziemniak jadalny BIO 1 kg #;1.000000;kg;5,00;4,03;4,23
04864;4,58;4,81;ZS-26/02/4239;465;5908249971684;Burak BIO 1 kg #;1.000000;kg;5,00;4,58;4,81
08466;6,15;6,46;ZS-26/02/4239;2355;8466;Jabłka Gala BIO 1 kg #;1.000000;kg;5,00;6,15;6,46
10153;5,69;5,97;ZS-26/02/4239;3847;10153;Jabłka Idared BIO 1 kg #;4.000000;kg;5,00;22,76;23,90
06979;1,90;2,00;ZS-26/02/4239;1429;5908249976023;Kiwi BIO IMPORT 1 szt #;1.000000;szt.;5,00;1,90;2,00
