NazwaDokumentu;ProduktID;Kod;ProduktNazwa;Ilosc;Jednostka;Cena;Wartosc;VAT;CenaBrutto;WartoscBrutto
ZK 104800/W/02/2026;5907;5902650274570;BROKUŁY ŚWIEŻE BIO (około 0,50 kg);1.00;szt;7,68;7,68;5,00;8,06;8,06
ZK 104800/W/02/2026;6560;5902650272804;BURAK CZERWONY ŚWIEŻY BIO (POLSKA) (około 1,00 kg);1.00;szt;3,61;3,61;5,00;3,79;3,79
ZK 104800/W/02/2026;1930;5903900368681;CYTRYNY ŚWIEŻE BIO (około 1,00 kg);2.00;szt;9,61;19,22;5,00;10,09;20,18
ZK 104800/W/02/2026;6035;253720;CZOSNEK ŚWIEŻY BIO (około 0,20 kg);0.200;kg;38,03;7,61;5,00;39,93;7,99
ZK 104800/W/02/2026;19104;5907814669476;DAKTYLE ŚWIEŻE Z PESTKĄ (NA GAŁĄZKACH) BIO PLANET;1.00;szt;8,51;8,51;5,00;8,94;8,94
ZK 104800/W/02/2026;6134;5907814662392;KALAFIOR ŚWIEŻY BIO (około 0,70 kg);1.00;szt;9,25;9,25;5,00;9,71;9,71
ZK 104800/W/02/2026;17630;8437015393155;KOKOS KAWAŁKI ŚWIEŻE BEZGLUTENOWE BIO 100 g - GENU;3.00;szt;5,61;16,83;5,00;5,89;17,67
ZK 104800/W/02/2026;19100;8437015393285;KOKOS MŁODY BIO ZE SŁOMKĄ (około 0,80 kg) - GENUIN;2.00;szt;10,62;21,24;5,00;11,15;22,30
ZK 104800/W/02/2026;6256;5902650272828;MARCHEW ŚWIEŻA NIEMYTA BIO (POLSKA) (około 0,90 kg;2.00;szt;4,77;9,54;5,00;5,01;10,02
ZK 104800/W/02/2026;31095;5907518375338;PIEROGI Z KASZĄ GRYCZANĄ I WĘDZONĄ PAPRYKĄ 275 g;2.00;szt;12,41;24,82;5,00;13,03;26,06
ZK 104800/W/02/2026;46398;5908231224033;PIEROGI Z KURCZAKIEM BEZGLUTENOWE 280 g - BEZGLUT;2.00;szt;20,48;40,96;5,00;21,50;43,01
ZK 104800/W/02/2026;31126;5907518375321;PIEROGI ZE SZPINAKIEM I SEREM TYPU FETA BEZGLUTEN;1.00;szt;15,56;15,56;5,00;16,34;16,34
ZK 104800/W/02/2026;3513;5902605410589;SZPINAK BABY ŚWIEŻY NIEMYTY BIO (około 0,10 kg);1.00;szt;4,55;4,55;5,00;4,78;4,78
ZK 104800/W/02/2026;3253;5907814668141;WŁOSZCZYZNA ŚWIEŻA BIO (POLSKA) (około 0,60 kg);1.00;szt;7,82;7,82;5,00;8,21;8,21
