
Kod;Cena;CenaBrutto;NazwaDokumentu;ProduktID;ProduktEAN;ProduktNazwa;Ilosc;Jednostka;VAT;Wartosc;WartoscBrutto
08134;4,89;5,13;ZS-26/02/4547;2114;5908249974845;Pieczywo chrupkie kasztanowe BEZGL. BIO 100 g;1.000000;szt.;5,00;4,89;5,13
08601;6,90;7,25;ZS-26/02/4547;2452;8008698022214;Pain Campagnard aux graines- chleb wieloziarnisty BEZGL. 250 g;6.000000;szt.;5,00;41,40;43,47
08962;6,07;6,37;ZS-26/02/4547;2703;5908249975873;Przecier jabłkowy BIO 350 g;5.000000;szt.;5,00;30,35;31,87
09003;6,63;6,96;ZS-26/02/4547;2735;5906395043262;Sok z ogórków kiszonych BIO 500 ml;4.000000;szt.;5,00;26,52;27,85
09225;7,96;8,36;ZS-26/02/4547;2915;5908228980331;Kapusta kiszona z marchewką BIO 450 g;1.000000;szt.;5,00;7,96;8,36
09229;10,47;10,99;ZS-26/02/4547;2919;5908228980171;Kapusta kiszona z marchewką BIO 800 g;3.000000;szt.;5,00;31,41;32,98
09291;7,81;8,20;ZS-26/02/4547;2961;8008698031056;Chipsy ziemniaczane naturalne BEZGL. 170 g;3.000000;szt.;5,00;23,43;24,60
09428;6,94;7,29;ZS-26/02/4547;3069;8007290574404;Passata pomidorowa BIO 700 g;1.000000;szt.;5,00;6,94;7,29
09429;4,34;4,56;ZS-26/02/4547;3070;8007290133694;Makaron rosmarino BIO 500 g;3.000000;szt.;5,00;13,02;13,67
09640;10,67;11,52;ZS-26/02/4547;3234;5907637903283;Wegańskie kabanosy klasyczne 160 g;3.000000;szt.;8,00;32,01;34,57
09649;2,98;3,13;ZS-26/02/4547;3242;8012462010093;Fasola czerwona kidney w zalewie BIO 400 g/ 240 g;2.000000;szt.;5,00;5,96;6,26
09787;48,49;50,91;ZS-26/02/4547;3374;5902596655709;Miód wielokwiatowy BIO 950 g;1.000000;szt.;5,00;48,49;50,91
09840;12,32;12,94;ZS-26/02/4547;3427;5904722221000;Kimchi Classic spicy 300 g;1.000000;szt.;5,00;12,32;12,94
