NazwaDokumentu;ProduktID;Kod;ProduktNazwa;Ilosc;Jednostka;Cena;Wartosc;VAT;CenaBrutto;WartoscBrutto
ZK 104801/W/02/2026;32155;5907652545543;CHRUPKI PIRAMIDKI PROTEINOWE O SMAKU POMIDORA Z B;5.00;szt;3,19;15,95;5,00;3,35;16,75
ZK 104801/W/02/2026;32156;5904730218344;CHRUPKI PIRAMIDKI PROTEINOWE O SMAKU SERA I CEBULI;5.00;szt;2,89;14,45;5,00;3,03;15,17
ZK 104801/W/02/2026;40541;5904730218139;CHRUPKI PIRAMIDKI PROTEINOWE O SMAKU SŁODKIEJ PAPR;18.00;szt;2,89;52,02;5,00;3,03;54,62
ZK 104801/W/02/2026;20414;8699367125673;FARBA DO WŁOSÓW CZEKOLADOWY BRĄZ 66.07 - BIOMAGIC;2.00;szt;16,45;32,90;23,00;20,23;40,47
ZK 104801/W/02/2026;21461;4012346520407;HERBATA CZARNA CEJLOŃSKA LIŚCIASTA BIO 75 g -;2.00;szt;13,34;26,68;23,00;16,41;32,82
ZK 104801/W/02/2026;5071;4012346523804;HERBATA EARL GREY LIŚCIASTA BIO 100 g - LEBENSBAUM;1.00;szt;17,68;17,68;23,00;21,75;21,75
ZK 104801/W/02/2026;9043;4012346153605;OREGANO BIO 15 g - LEBENSBAUM;3.00;szt;5,65;16,95;5,00;5,93;17,80
ZK 104801/W/02/2026;46300;5905753287058;YERBA MATE SLIM FIT 300 g - YERBADOR;1.00;szt;43,10;43,10;8,00;46,55;46,55
