Kod;Ilosc;Cena;CenaBrutto;NazwaDokumentu;ProduktID;ProduktNazwa;Jednostka;VAT;Wartosc;WartoscBrutto
PERSEA31WIAKW;1,00;6,07;6,37;ZK 4295/02/2026;6221;Wi±zówka ziele 50g ZIELARZPOLSKI.PL;szt;5,00;6,07;6,37
PERSEA31ROZPL;3,00;11,45;12,02;ZK 4295/02/2026;6303;Róża płatki 50g ZIELARZPOLSKI.PL;szt;5,00;34,35;36,07
PERSEA33ODCHE;2,00;22,75;24,57;ZK 4295/02/2026;6685;Odchudzanie - herbatka ziołowa 100g ZIELARZPOLSKI.;szt;8,00;45,50;49,14
PERSEA31PRAWLI;1,00;6,06;6,36;ZK 4295/02/2026;6610;Prawo¶laz li¶ć 50g ZIELARZPOLSKI.PL;szt;5,00;6,06;6,36
PERSEA31LIPKW;1,00;10,78;11,32;ZK 4295/02/2026;6167;Lipa kwiatostan 50g ZIELARZPOLSKI.PL;szt;5,00;10,78;11,32
PERSEA31WIEDR;2,00;6,06;6,36;ZK 4295/02/2026;6222;Wierzbownica drobnokwiatowa 50g ZIELARZPOLSKI.PL;szt;5,00;12,12;12,73
PERSEA35LIMFA;3,00;7,86;8,49;ZK 4295/02/2026;7000;LIMFA Fix 30x1,5g ZIELARZPOLSKI.PL;szt;8,00;23,58;25,47
PERSEA33SPOHE;1,00;22,74;24,56;ZK 4295/02/2026;6456;Spokój - herbatka ziołowa 100g ZIELARZPOLSKI.PL;szt;8,00;22,74;24,56
PERSEA31NAGKW;1,00;7,41;7,78;ZK 4295/02/2026;6187;Nagietek kwiat 50g ZIELARZPOLSKI.PL;szt;5,00;7,41;7,78
PERSEA31BEZCZKW;1,00;8,43;8,85;ZK 4295/02/2026;6120;Bez czarny kwiat 50g ZIELARZPOLSKI.PL;szt;5,00;8,43;8,85
PERSEA31BEZCZOW;1,00;6,40;6,72;ZK 4295/02/2026;6121;Bez czarny owoc 50g ZIELARZPOLSKI.PL;szt;5,00;6,40;6,72
PERSEA21OLEOR;1,00;26,24;32,28;ZK 4295/02/2026;7043;Olejek oregano 100% 30ml ZIELARZPOLSKI.PL;szt;23,00;26,24;32,28
PERSEA33KRAHE;2,00;22,09;23,86;ZK 4295/02/2026;6458;Kr±żenie - herbatka ziołowa 100g ZIELARZPOLSKI.PL;szt;8,00;44,18;47,71
PERSEA33DNAHE;1,00;22,74;24,56;ZK 4295/02/2026;6453;Dna moczanowa - herbatka ziołowa 100g ZIELARZPOLSK;szt;8,00;22,74;24,56
PERSEA33LIMHE;3,00;22,74;24,56;ZK 4295/02/2026;6404;Limfa - herbatka ziołowa 100g ZIELARZPOLSKI.PL;szt;8,00;68,22;73,68
PERSEA33SLEHE;1,00;22,74;24,56;ZK 4295/02/2026;6449;¦ledziona - herbatka ziołowa 100g ZIELARZPOLSKI.PL;szt;8,00;22,74;24,56
PERSEA31GLOKW;2,00;6,06;6,36;ZK 4295/02/2026;6138;Głóg kwiat 50g ZIELARZPOLSKI.PL;szt;5,00;12,12;12,73
PERSEA31ANYGWCA;1,00;13,11;14,16;ZK 4295/02/2026;6298;Anyż gwiazdkowy cały 50g ZIELARZPOLSKI.PL;szt;8,00;13,11;14,16
PERSEA31BLUZI;2,00;6,74;7,08;ZK 4295/02/2026;6122;Bluszczyk ziele 50g ZIELARZPOLSKI.PL;szt;5,00;13,48;14,15
PERSEA31PRZYPRO;1,00;6,55;7,07;ZK 4295/02/2026;6748;Przyprawa do rosołu 50g ZIELARZPOLSKI.PL;szt;8,00;6,55;7,07
PERSEA31MALILI;1,00;6,74;7,08;ZK 4295/02/2026;6174;Malina li¶ć 50g ZIELARZPOLSKI.PL;szt;5,00;6,74;7,08
