Kod;Ilosc;Cena;CenaBrutto;NazwaDokumentu;ProduktID;ProduktNazwa;Jednostka;VAT;Wartosc;WartoscBrutto
71SOLZABMG;1,00;13,65;16,79;ZK 4344/02/2026;2950;ZABŁOCKA Mgiełka solankowa jodowo-bromowa 950ml;szt;23,00;13,65;16,79
71FITSZTTL;7,00;12,39;15,24;ZK 4344/02/2026;3754;Szampon tradycyjny d/wł. tłustych FITOMED;szt;23,00;86,73;106,68
11BIFOLEKB2;1,00;10,81;11,35;ZK 4344/02/2026;7430;BIO FOOD Olej kokosowy bezwonny BIO 260ml;szt;5,00;10,81;11,35
21MERCHL60;1,00;69,21;85,13;ZK 4344/02/2026;1259;Chlorella algi prasowane 1200tabl. MERIDIAN;szt;23,00;69,21;85,13
11SMASOLKG;1,00;4,49;5,52;ZK 4344/02/2026;959;SMAKOSZ Sól kłodawska gruboziarnista 1kg;szt;23,00;4,49;5,52
11SIDGUMMI;1,00;3,75;4,05;ZK 4344/02/2026;4585;CHEWSY Gumy do żucia mięta z ksylitolem 15g;szt;8,00;3,75;4,05
21FAXMASZYR1;1,00;17,16;21,11;ZK 4344/02/2026;1251;FarmVix Ma¶ć z Żyworódki 150ml;szt;23,00;17,16;21,11
31FLOMECZE;3,00;4,91;5,30;ZK 4344/02/2026;3790;Męczennica ziele 50g FLOS;szt;8,00;14,73;15,91
11BIPBIPPP1;1,00;5,70;5,99;ZK 4344/02/2026;5960;BIO PLANET Płatki owsiane GÓRSKIE BIO 600g;szt;5,00;5,70;5,99
71ROSTRIPMI;1,00;9,58;11,78;ZK 4344/02/2026;7961;TRIUGA Pasta do zębów ajurw. Miswak 100g;szt;23,00;9,58;11,78
21SUZLIMFA;7,00;19,58;21,15;ZK 4344/02/2026;7186;LIMFA 60 kaps. ZIELARZPOLSKI.PL;szt;8,00;137,06;148,02
71NATKRAMS;1,00;24,16;29,72;ZK 4344/02/2026;2854;KRAUTERHOF Ma¶ć końska silnie rozgrzew. 500ml;szt;23,00;24,16;29,72
11MIXVZELJA;2,00;5,12;5,38;ZK 4344/02/2026;7370;VERI BERI Żelki jagodowe b/c b/g 50g;szt;5,00;10,24;10,75
11BIFSYRMA;5,00;9,83;10,62;ZK 4344/02/2026;7434;BIO FOOD Syrop malinowy BIO 250ml;szt;8,00;49,15;53,08
11BIPBIPPA;2,00;13,21;16,25;ZK 4344/02/2026;399;BIO PLANET Płatki drożdżowe nieaktywne BIO 100g;szt;23,00;26,42;32,50
34NATZIOBL;2,00;10,89;11,76;ZK 4344/02/2026;2345;NATURA-WITA Błonnik naturalnie witalny 200g;szt;8,00;21,78;23,52
11SIDGUMMP;1,00;3,75;4,05;ZK 4344/02/2026;4586;CHEWSY Gumy do żucia mięta pieprz. z ksyl. 15g;szt;8,00;3,75;4,05
11SMAHIBKW;4,00;4,53;4,76;ZK 4344/02/2026;941;SMAKOSZ Hibiskus kwiat 100g;szt;5,00;18,12;19,03
11CELCIABR;1,00;4,74;4,98;ZK 4344/02/2026;7920;Ciasto Brownie bezglutenowe 300g CELIKO;szt;5,00;4,74;4,98
11CELPROPI;1,00;1,22;1,50;ZK 4344/02/2026;7919;Proszek do pieczenia b/g 30g CELIKO;szt;23,00;1,22;1,50
11SIMMAKKT;3,00;7,78;8,17;ZK 4344/02/2026;905;PIĘĆ PRZEMIAN M±ka kokosowa BIO 500g;szt.;5,00;23,34;24,51
11BIPBIPAN;1,00;6,34;6,66;ZK 4344/02/2026;281;BIO PLANET Amarantus nasiona BIO 500g;szt;5,00;6,34;6,66
21STAZDRMRO;1,00;8,66;9,35;ZK 4344/02/2026;5228;Zdrowy lizak różne smaki 7 sztuk + nakl STARPHARMA;szt;8,00;8,66;9,35
11MIXVZELMAN;2,00;5,73;6,02;ZK 4344/02/2026;7868;VERI BERI Żelki mango i marakuja b/c b/g 50g;szt;5,00;11,46;12,03
71SOLZABST;2,00;20,75;25,52;ZK 4344/02/2026;2952;ZABŁOCKA Sól termalna jodowo-bromowa 1kg;szt;23,00;41,50;51,05
11BARMORKPS;2,00;4,42;4,64;ZK 4344/02/2026;7779;BARTOLINI Makaron orkiszowy pełn. ¶wider BIO 250g;szt;5,00;8,84;9,28
