
Kod;Cena;CenaBrutto;NazwaDokumentu;ProduktID;ProduktEAN;ProduktNazwa;Ilosc;Jednostka;VAT;Wartosc;WartoscBrutto
06970;8,18;8,59;ZS-26/02/4347;1420;5908249973190;Grejpfrut Czerwony/Różowy BIO IMPORT 1 kg #;2.000000;kg;5,00;16,36;17,18
06991;7,26;7,62;ZS-26/02/4347;1440;5908249973183;Pomarańcze BIO IMPORT 1 kg #;1.000000;kg;5,00;7,26;7,62
08466;6,15;6,46;ZS-26/02/4347;2355;8466;Jabłka Gala BIO 1 kg #;2.000000;kg;5,00;12,30;12,92
10153;5,69;5,97;ZS-26/02/4347;3847;10153;Jabłka Idared BIO 1 kg #;1.000000;kg;5,00;5,69;5,97
05383;5,21;5,47;ZS-26/02/4347;670;5908249976740;Pieczarka biała BIO 250g #;3.000000;szt.;5,00;15,63;16,41
07894;5,45;5,72;ZS-26/02/4347;1959;5908249976771;Pieczarka brązowa BIO 250 g #;1.000000;szt.;5,00;5,45;5,72
