NazwaDokumentu;ProduktID;Kod;ProduktNazwa;Ilosc;Jednostka;Cena;Wartosc;VAT;CenaBrutto;WartoscBrutto
ZK 111913/W/02/2026;3753;5907814663238;BUŁKA TARTA BIO 250 g - BIO PLANET;3.00;szt;5,55;16,65;5,00;5,83;17,48
ZK 111913/W/02/2026;42794;8005221301334;CHLEB TOSTOWY ORKISZOWY KROJONY BIO 400 g - IL BUO;3.00;szt;9,60;28,80;5,00;10,08;30,24
ZK 111913/W/02/2026;4224;5907814664822;MĄKA ORKISZOWA RAZOWA TYP 2000 BIO 1 kg BIO PLANET;5.00;szt;8,25;41,25;5,00;8,66;43,31
ZK 111913/W/02/2026;46507;7640230493666;MUS TAŃCZĄCY DINOZAUR JABŁKO Z BORÓWKAMI I ŚLIWKĄ;5.00;szt;3,95;19,75;5,00;4,15;20,74
ZK 111913/W/02/2026;2624;4038375024396;NAPÓJ OWSIANY BEZ DODATKU CUKRÓW BIO 1 L - NATUMI;4.00;szt;5,78;23,12;5,00;6,07;24,28
ZK 111913/W/02/2026;25652;8019428000013;NAPÓJ RYŻOWY BEZ DODATKU CUKRÓW BEZGLUTENOWY BIO 1;3.00;szt;6,72;20,16;5,00;7,06;21,17
ZK 111913/W/02/2026;1791;8029689003999;OLIWKI ZIELONE BEZ PESTEK W ZALEWIE BIO 280 g (150;2.00;szt;8,71;17,42;5,00;9,15;18,29
ZK 111913/W/02/2026;2785;5907814664907;POPCORN (ZIARNO KUKURYDZY) BIO 400 g - BIO PLANET;3.00;szt;5,02;15,06;5,00;5,27;15,81
ZK 111913/W/02/2026;19844;5900238562866;WODA ŹRÓDLANA NIEGAZOWANA 700 ml (SZKŁO) - BABY ZD;30.00;szt;5,06;151,80;23,00;6,22;186,71
