
Kod;Cena;CenaBrutto;NazwaDokumentu;ProduktID;ProduktEAN;ProduktNazwa;Ilosc;Jednostka;VAT;Wartosc;WartoscBrutto
02224;5,38;5,81;ZS-26/02/5202;86;5900672305173;Musztarda łagodna BIO 170 g;4.000000;szt.;8,00;21,52;23,24
03256;4,09;4,29;ZS-26/02/5202;126;5907752683442;Sok z buraków kiszonych B/C BIO 300 ml;2.000000;szt.;5,00;8,18;8,59
03506;18,71;23,01;ZS-26/02/5202;162;8437007759723;Kawa rozpuszczalna BIO 100 g;2.000000;szt.;23,00;37,42;46,03
04643;12,11;12,72;ZS-26/02/5202;399;8008698004852;Mix C- mieszanka do wypieku ciast BEZGL. 1 kg;2.000000;szt.;5,00;24,22;25,43
04911;4,34;4,56;ZS-26/02/5202;495;8007290335005;Makaron spaghetti pełnoziarnisty BIO 500 g;1.000000;szt.;5,00;4,34;4,56
04912;4,34;4,56;ZS-26/02/5202;496;8007290133120;Makaron spaghetti BIO 500 g;8.000000;szt.;5,00;34,72;36,46
04913;4,34;4,56;ZS-26/02/5202;497;8007290133434;Makaron pennoni rigati BIO 500 g;4.000000;szt.;5,00;17,36;18,23
04914;4,34;4,56;ZS-26/02/5202;498;8007290133793;Makaron farfalle BIO 500 g;5.000000;szt.;5,00;21,70;22,79
04915;4,34;4,56;ZS-26/02/5202;499;8007290335043;Makaron fusilli pełnoziarnisty BIO 500 g;2.000000;szt.;5,00;8,68;9,11
05111;6,72;7,06;ZS-26/02/5202;549;5908249970953;Mąka orkiszowa typ 1850  BIO 1 kg;11.000000;szt.;5,00;73,92;77,62
05119;9,16;9,62;ZS-26/02/5202;556;8008698004753;Pan Grati- bułka tarta BEZGL. 300 g;2.000000;szt.;5,00;18,32;19,24
05226;4,98;5,23;ZS-26/02/5202;583;5908249970564;Marchewka w zalewie BIO 340 g / 215 g;1.000000;szt.;5,00;4,98;5,23
05412;6,04;6,34;ZS-26/02/5202;683;5907752683978;Kapusta kiszona BIO 570 g / 700 g;1.000000;szt.;5,00;6,04;6,34
05723;4,47;4,69;ZS-26/02/5202;820;5908249971264;Bulion drobiowy w kostkach bez oleju palmowego BEZGL. BIO 66 g;4.000000;szt.;5,00;17,88;18,77
05772;5,92;6,22;ZS-26/02/5202;852;5908249971530;Sok z cytryn 100% BIO 250 ml;2.000000;szt.;5,00;11,84;12,43
05888;15,52;16,30;ZS-26/02/5202;906;5908249971615;Olej słonecznikowy do smażenia BIO 1 l;1.000000;szt.;5,00;15,52;16,30
06225;6,30;6,62;ZS-26/02/5202;1081;5908249972070;Migdały BIO 100 g;1.000000;szt.;5,00;6,30;6,62
06237;7,89;8,28;ZS-26/02/5202;1092;5908249972179;Płatki kukurydziane BIO 300 g;11.000000;szt.;5,00;86,79;91,13
06405;8,06;8,70;ZS-26/02/5202;1169;8053323640738;Sos pomidorowy dla dzieci BIO 340 g;6.000000;szt.;8,00;48,36;52,23
06718;8,11;8,52;ZS-26/02/5202;1261;5908249972841;Chrzan tarty 160 g;4.000000;szt.;5,00;32,44;34,06
07107;2,72;2,86;ZS-26/02/5202;1493;8586015178870;Przecier jabłko-marchew po 6 miesiącu życia BIO 90 g;1.000000;szt.;5,00;2,72;2,86
07110;3,20;3,36;ZS-26/02/5202;1496;8586019160284;Danie ziemniak-groszek-cukinia po 6 miesiącu życia BIO 90 g;2.000000;szt.;5,00;6,40;6,72
07111;3,20;3,36;ZS-26/02/5202;1497;8586019160277;Danie brokuł-ziemniak po 6 miesiącu życia BIO 90 g;2.000000;szt.;5,00;6,40;6,72
08029;5,47;5,74;ZS-26/02/5202;2041;5900900002805;Żurek gryczany - koncentrat BEZG. BIO 320 ml;1.000000;szt.;5,00;5,47;5,74
08030;5,47;5,74;ZS-26/02/5202;2042;5900900002812;Żurek jaglany - koncentrat BEZG. BIO 320 ml;4.000000;szt.;5,00;21,88;22,97
08315;5,92;6,22;ZS-26/02/5202;2246;5908249975453;Fasola czerwona kidney w zalewie BIO 360 g / 240 g;1.000000;szt.;5,00;5,92;6,22
08601;6,90;7,25;ZS-26/02/5202;2452;8008698022214;Pain Campagnard aux graines- chleb wieloziarnisty BEZGL. 250 g;10.000000;szt.;5,00;69,00;72,45
09241;3,07;3,78;ZS-26/02/5202;2927;5900467000566;Naturalna woda mineralna wysokonasycona CO2  0,7 l;2.000000;szt.;23,00;6,14;7,55
09840;12,32;12,94;ZS-26/02/5202;3427;5904722221000;Kimchi Classic spicy 300 g;5.000000;szt.;5,00;61,60;64,68
09841;26,54;27,87;ZS-26/02/5202;3428;5904722221123;Kimchi Classic spicy 900 g;8.000000;szt.;5,00;212,32;222,94
09844;12,32;12,94;ZS-26/02/5202;3431;5904722221017;Kimchi Classic Mild 300 g;2.000000;szt.;5,00;24,64;25,87
09852;5,25;5,51;ZS-26/02/5202;3439;4771085204909;Owsianka z jabłkami i cynamonem pełnoziarnista BIO 60 g;3.000000;szt.;5,00;15,75;16,54
09855;4,73;4,97;ZS-26/02/5202;3442;4771085204916;Owsianka z owocami leśnymi pełnoziarnista BIO 60 g;7.000000;szt.;5,00;33,11;34,77
09856;5,21;5,47;ZS-26/02/5202;3443;4771085204923;Owsianka z morelami i bananem pełnoziarnista BIO 60 g;3.000000;szt.;5,00;15,63;16,41
09907;8,68;9,11;ZS-26/02/5202;3607;5908249976863;Kasza gryczana niepalona BIO 1 kg;9.000000;szt.;5,00;78,12;82,03
09909;8,80;9,24;ZS-26/02/5202;3609;5908249976870;Ryż brązowy długoziarnisty BIO 1 kg;3.000000;szt.;5,00;26,40;27,72
10116;5,10;5,36;ZS-26/02/5202;3801;5900900003093;Żurek żytni koncentrat BIO 320 ml;2.000000;szt.;5,00;10,20;10,71
10193;4,34;4,56;ZS-26/02/5202;3897;8007290133601;Makaron ditalini rigati BIO 500 g;6.000000;szt.;5,00;26,04;27,34
10195;4,34;4,56;ZS-26/02/5202;3899;8007290134066;Makaron mezze penne rigate BIO 500 g;3.000000;szt.;5,00;13,02;13,67
10269;4,01;4,33;ZS-26/02/5202;3986;5908249977495;Tofu naturalne BIO 180 g;1.000000;szt.;8,00;4,01;4,33
10572;10,47;10,99;ZS-26/02/5202;4326;5908228980188;Kapusta kiszona BIO 900 ml;2.000000;szt.;5,00;20,94;21,99
10803;9,27;9,73;ZS-26/02/5202;4606;8008698004586;Gnocchi- kopytka ziemniaczane BEZGL. 300 g;2.000000;szt.;5,00;18,54;19,47
10810;7,24;7,82;ZS-26/02/5202;4619;5908249979130;Ketchup bez dodatku cukru BIO 470 g;1.000000;szt.;8,00;7,24;7,82
10894;12,32;12,94;ZS-26/02/5202;4718;5904722221444;Kimchi Classic Mild pasteryzowane 280 g;1.000000;szt.;5,00;12,32;12,94
10901;5,81;6,10;ZS-26/02/5202;4725;8588007731865;Chipsy warzywne BEZGL. BIO 85 g;1.000000;szt.;5,00;5,81;6,10
11225;3,44;3,61;ZS-26/02/5202;5094;8588004638839;Chrupki kukurydziane z burakiem BEZGL. BIO 55 g;1.000000;szt.;5,00;3,44;3,61
11268;2,99;3,14;ZS-26/02/5202;5149;5908249979338;Paluszki orkiszowe pełnoziarniste BIO 50 g;2.000000;szt.;5,00;5,98;6,28
11269;2,99;3,14;ZS-26/02/5202;5150;5908249979321;Paluszki owsiane pełnoziarniste z kurkumą BIO 50 g;1.000000;szt.;5,00;2,99;3,14
11270;2,99;3,14;ZS-26/02/5202;5151;5908249979345;Paluszki z samopszy pełnoziarniste BIO 50 g;3.000000;szt.;5,00;8,97;9,42
11341;14,21;14,92;ZS-26/02/5202;5226;5905563491010;Kimchi classic JONGGA 520g ( DOYPACK);25.000000;szt.;5,00;355,25;373,01
11379;12,32;12,94;ZS-26/02/5202;5264;5904722221567;Kimchi Spicy rzodkiew 300 g;1.000000;szt.;5,00;12,32;12,94
11384;7,94;8,58;ZS-26/02/5202;5270;5905811977013;Plantway Ku*czak roślinny klasyk 160 g;2.000000;szt.;8,00;15,88;17,15
11385;7,94;8,58;ZS-26/02/5202;5271;5905811977020;Plantway Ku*czak indyjski curry 160 g;5.000000;szt.;8,00;39,70;42,88
11437;8,01;8,41;ZS-26/02/5202;5342;5900900003024;Kapusta kiszona niepasteryzowana BIO 540 ml;6.000000;szt.;5,00;48,06;50,46
11495;7,68;8,29;ZS-26/02/5202;5403;5905811977068;Roślinny Tuńczyk 150 g;3.000000;szt.;8,00;23,04;24,88
11510;4,89;5,13;ZS-26/02/5202;5421;5908249979499;Płatki kukurydziane bez dodatku cukru BEZGL. BIO 250 g;11.000000;szt.;5,00;53,79;56,48
