
Kod;Cena;CenaBrutto;NazwaDokumentu;ProduktID;ProduktEAN;ProduktNazwa;Ilosc;Jednostka;VAT;Wartosc;WartoscBrutto
02803;7,04;7,39;ZS-26/02/4236;101;5903548005092;Amarantus ekspandowany  BIO 120 g;1.000000;szt.;5,00;7,04;7,39
03417;7,96;8,36;ZS-26/02/4236;144;5903453002742;Ciasteczka orkiszowe naturalne B/C BIO 120 g;1.000000;szt.;5,00;7,96;8,36
04156;6,11;6,42;ZS-26/02/4236;244;5903453002001;Ciasteczka owsiane naturalne 150 g;1.000000;szt.;5,00;6,11;6,42
04323;5,81;6,10;ZS-26/02/4236;280;8588004638112;Chipsy ziemniaczane pieczone paprykowe BEZGL. BIO 85 g;2.000000;szt.;5,00;11,62;12,20
04383;5,48;5,75;ZS-26/02/4236;301;8008698007303;Fette croccanti - pieczywo chrupkie BEZGL. 150 g;1.000000;szt.;5,00;5,48;5,75
04403;3,47;3,64;ZS-26/02/4236;314;8008698002070;Salinis- precelki BEZGL. 60 g;1.000000;szt.;5,00;3,47;3,64
04882;4,28;4,49;ZS-26/02/4236;478;8008698010037;Makaron spaghetti BEZGL. 250 g;1.000000;szt.;5,00;4,28;4,49
04884;4,28;4,49;ZS-26/02/4236;480;8008698010051;Makaron penne BEZGL. 250 g;1.000000;szt.;5,00;4,28;4,49
04910;5,66;5,94;ZS-26/02/4236;494;5908249970557;Passata pomidorowa BIO 680 g;1.000000;szt.;5,00;5,66;5,94
04911;4,34;4,56;ZS-26/02/4236;495;8007290335005;Makaron spaghetti pełnoziarnisty BIO 500 g;1.000000;szt.;5,00;4,34;4,56
05041;28,37;29,79;ZS-26/02/4236;530;5902768174014;Konfitura z płatków róży 220 g;1.000000;szt.;5,00;28,37;29,79
05047;10,44;10,96;ZS-26/02/4236;535;5902768174267;Sok z owoców róży Witamina C 100  owoc. 250 ml;1.000000;szt.;5,00;10,44;10,96
05090;8,08;8,48;ZS-26/02/4236;547;8008698010235;Twin bar-wafelki w czek. BEZGL. 3x21.5 g;4.000000;szt.;5,00;32,32;33,94
