NazwaDokumentu;ProduktID;Kod;ProduktNazwa;Ilosc;Jednostka;Cena;Wartosc;VAT;CenaBrutto;WartoscBrutto
ZK 110574/W/02/2026;122;4048885051430;BULION - KOSTKI WARZYWNE BEZ DODATKU DROŻDŻY BIO 8;8.00;szt;4,08;32,64;5,00;4,28;34,27
ZK 110574/W/02/2026;40510;5902431590431;BUŁKI DO HOT-DOGÓW BEZGLUTENOWE (2 szt.) 130 g -;4.00;szt;6,84;27,36;5,00;7,18;28,73
ZK 110574/W/02/2026;10210;5907738152849;CHIPSY BANANOWE NIESŁODZONE BIO 350 g - BIO PLANE;2.00;szt;10,01;20,02;5,00;10,51;21,02
ZK 110574/W/02/2026;46857;5412916991702;CIASTECZKA OD 6 MIESIĄCA BIO 120 g - BISKIDS;2.00;szt;8,03;16,06;5,00;8,43;16,86
ZK 110574/W/02/2026;7020;8713576473629;FURIKAKE (MIESZANKA SEZAMU I ALG MORSKICHTERRASANA;2.00;szt;19,46;38,92;8,00;21,02;42,03
ZK 110574/W/02/2026;1900;8437010207815;GAZPACHO (HISZPAŃSKA ZUPA WARZYWNA) BIO 1 L - BIOS;3.00;szt;11,43;34,29;5,00;12,00;36,00
ZK 110574/W/02/2026;17942;5907778314788;GŁOŻYNA POSPOLITA SUSZONA BIO 180 g - SOLIDA FOOD;2.00;szt;15,34;30,68;5,00;16,11;32,21
ZK 110574/W/02/2026;10083;5902175866076;GROSZEK ZIELONY W ZALEWIE BIO350g(230g)(SŁOIKBIOPL;3.00;szt;5,85;17,55;5,00;6,14;18,43
ZK 110574/W/02/2026;44231;8718976020831;KASZA KUSKUS PERŁOWY FREGOLA BIO 400 g - LA BIO ID;3.00;szt;9,05;27,15;5,00;9,50;28,51
ZK 110574/W/02/2026;25604;7640104951292;KASZKA OWSIANA PEŁNOZIARNISTA BEZ DODATKU CUKRÓW P;2.00;szt;9,18;18,36;5,00;9,64;19,28
ZK 110574/W/02/2026;47126;4751002121922;KRAKERSY Z CIECIERZYCY Z CEBULĄ BIO 80 g - KRIPPU;4.00;szt;6,29;25,16;5,00;6,60;26,42
ZK 110574/W/02/2026;13981;4792038027079;KREM KOKOSOWY DO UBIJANIA BIO 200 g (PUSZKA) - COC;1.00;szt;6,63;6,63;8,00;7,16;7,16
ZK 110574/W/02/2026;34804;5900652819959;LIZAK O SMAKU MALINOWYM Z WITAMINĄ D I C BEZGLUTE;40.00;szt;1,49;59,60;8,00;1,61;64,37
ZK 110574/W/02/2026;47356;5902989935234;LIZAK O SMAKU WINOGRONO - CYTRYNA ACTIVE BEZ CUKR;40.00;szt;2,17;86,80;8,00;2,34;93,74
ZK 110574/W/02/2026;4224;5907814664822;MĄKA ORKISZOWA RAZOWA TYP 2000 BIO 1 kg BIO PLANET;5.00;szt;8,25;41,25;5,00;8,66;43,31
ZK 110574/W/02/2026;34932;7640161877351;MUS SILNA PAPUGA (GRUSZKA - JABŁKO - SZPINAK) BEZ;5.00;szt;3,87;19,35;5,00;4,06;20,32
ZK 110574/W/02/2026;46504;7640230493819;MUS SŁODKI LENIWIEC (BATAT - ŚLIWKA - DYNIA - TRU;4.00;szt;4,29;17,16;5,00;4,50;18,02
ZK 110574/W/02/2026;45017;59099109;NATURALNA WODA MINERALNA NISKOGAZOWANA 1 L - MILA;36.00;szt;5,31;191,16;23,00;6,53;235,13
ZK 110574/W/02/2026;1792;8029689004217;OLIWKI CZARNE BEZ PESTEK W ZALEWIE BIO 280 g (150;2.00;szt;8,71;17,42;5,00;9,15;18,29
ZK 110574/W/02/2026;44993;5904538034351;OWOCOWE DODATKI DO MUSLI I DESERÓW JUNIOR BIO 20 g;4.00;szt;7,78;31,12;5,00;8,17;32,68
ZK 110574/W/02/2026;44997;5904538034368;OWOCOWE DODATKI DO MUSLI I DESERÓW NATURALNE PIĘKN;3.00;szt;6,33;18,99;5,00;6,65;19,94
ZK 110574/W/02/2026;22994;5902650275676;PESTKI DYNI JASNE BIO 1 kg - BIO PLANET;1.00;szt;26,25;26,25;5,00;27,56;27,56
ZK 110574/W/02/2026;4715;8009004850224;PESTO Z CUKINII BIO 130 g - ALCE NERO;3.00;szt;8,20;24,60;8,00;8,86;26,57
ZK 110574/W/02/2026;4722;5907814664969;PŁATKI OWSIANE BIO 600 g - BIO PLANET;3.00;szt;4,88;14,64;5,00;5,12;15,37
ZK 110574/W/02/2026;22400;5903900368070;POMIDORY SUSZONE W OLEJU BIO 280 g - BIO PLANET;2.00;szt;11,62;23,24;5,00;12,20;24,40
ZK 110574/W/02/2026;1933;4850001113591;SOK Z ROKITNIKA NFC BIO 250 ml - YAN;3.00;szt;6,84;20,52;5,00;7,18;21,55
ZK 110574/W/02/2026;2757;5907814662705;ŚLIWKI KALIFORNIJSKIE GF BIO 400 g- BIO PLANET;1.00;szt;22,05;22,05;5,00;23,15;23,15
ZK 110574/W/02/2026;25564;5907784827227;WODA JAVA ALKALICZNA NIEGAZOWANA 860 ml - WODY KA;6.00;szt;5,02;30,12;23,00;6,17;37,05
ZK 110574/W/02/2026;19844;5900238562866;WODA ŹRÓDLANA NIEGAZOWANA 700 ml (SZKŁO) - BABY ZD;6.00;szt;5,06;30,36;23,00;6,22;37,34
