NazwaDokumentu;ProduktID;Kod;ProduktNazwa;Ilosc;Jednostka;Cena;Wartosc;VAT;CenaBrutto;WartoscBrutto
ZK 122863/W/02/2026;5907;5902650274570;BROKUŁY ŚWIEŻE BIO (około 0,50 kg);1.00;szt;7,14;7,14;5,00;7,50;7,50
ZK 122863/W/02/2026;23038;4000915233414;GNOCCHI ŚWIEŻE BIO 400 g - BIO-VERDE;3.00;szt;11,26;33,78;5,00;11,82;35,47
ZK 122863/W/02/2026;31860;5902367400644;KUMKWAT ŚWIEŻY BIO (około 0,25 kg);1.00;szt;5,68;5,68;5,00;5,96;5,96
ZK 122863/W/02/2026;6256;5902650272828;MARCHEW ŚWIEŻA NIEMYTA BIO (POLSKA) (około 1,00 kg;2.00;szt;4,77;9,54;5,00;5,01;10,02
ZK 122863/W/02/2026;9229;5902983781684;ROSZPONKA ŚWIEŻA NIEMYTA BIO (około 0,10 kg);1.00;szt;4,77;4,77;5,00;5,01;5,01
ZK 122863/W/02/2026;7996;5907814661999;SELER NACIOWY ŚWIEŻY BIO (około 0,30 kg);3.00;szt;5,86;17,58;5,00;6,15;18,46
