Kod;Ilosc;Cena;CenaBrutto;NazwaDokumentu;ProduktID;ProduktNazwa;Jednostka;VAT;Wartosc;WartoscBrutto
PERSEA33ODCHE;1,00;22,75;24,57;ZK 3910/02/2026;6685;Odchudzanie - herbatka ziołowa 100g ZIELARZPOLSKI.;szt;8,00;22,75;24,57
PERSEA33MENHE;1,00;22,74;24,56;ZK 3910/02/2026;6972;Menopauza - herbatka ziołowa 100g ZIELARZPOLSKI.PL;szt;8,00;22,74;24,56
PERSEA31LUKKO;1,00;6,07;6,37;ZK 3910/02/2026;6170;Lukrecja korzeń 50g ZIELARZPOLSKI.PL;szt;5,00;6,07;6,37
PERSEA33ZOLHE;1,00;19,50;21,06;ZK 3910/02/2026;6686;Żoł±dek - herbatka ziołowa 100g ZIELARZPOLSKI.PL;szt;8,00;19,50;21,06
PERSEA31GOJZIC;1,00;12,13;12,74;ZK 3910/02/2026;6817;Gojnik ziele całe 50g ZIELARZPOLSKI.PL;szt;5,00;12,13;12,74
