Kod;Ilosc;Cena;CenaBrutto;NazwaDokumentu;ProduktID;ProduktNazwa;Jednostka;VAT;Wartosc;WartoscBrutto
34ARGSIL50;2,00;13,47;16,57;ZK 4716/02/2026;2254;SILVIANA herbata wspom. odchudzanie 50*3g;szt;23,00;26,94;33,14
11SIDGUMCY;1,00;3,75;4,05;ZK 4716/02/2026;4583;CHEWSY Gumy do żucia cynamon z ksylitolem 15g;szt;8,00;3,75;4,05
71ARAFKRGL;1,00;8,58;10,55;ZK 4716/02/2026;8015;FBT Krem do twarzy z glistnikiem 44ml;szt;23,00;8,58;10,55
71ZIAPASSC;1,00;5,85;7,20;ZK 4716/02/2026;3103;Pasta szałwiowa bez fluoru MintPerfekt 75ml ZIAJA;szt;23,00;5,85;7,20
21STALIZAR;2,00;0,80;0,86;ZK 4716/02/2026;7658;Lizik ARBUSIO lizak arbuzowy 1 szt. STARPHARMA;szt;8,00;1,60;1,73
11SIMCUKMJ;1,00;2,99;3,23;ZK 4716/02/2026;920;PIĘĆ PRZEMIAN Cuksy miętowe z ksylitolem 13g;szt;8,00;2,99;3,23
11EKOMINBASE;1,00;7,78;8,17;ZK 4716/02/2026;5380;Mini batoniki z nerkowców a'la sernik waniliowy DK;szt;5,00;7,78;8,17
21PLASLU08;2,00;12,91;13,94;ZK 4716/02/2026;1496;¦luzvit pastylki SŁOIK 80g + 25% gratis PLANTA-LEK;szt;8,00;25,82;27,89
11PRSOLER2;5,00;14,66;15,39;ZK 4716/02/2026;874;PRIMUS Olej rzepakowy Tucholski 1l;szt;5,00;73,30;76,97
31DARTYM20B;1,00;3,79;4,09;ZK 4716/02/2026;7240;Tymianek BIO 20g DARY NATURY;szt;8,00;3,79;4,09
11BIPBINKUK;1,00;8,09;8,49;ZK 4716/02/2026;7267;BIOMINKI Kulki kakaowe BIO 300g;szt;5,00;8,09;8,49
11EKOMINBATM;4,00;7,78;8,17;ZK 4716/02/2026;5381;Mini batoniki z nerkowców a'la tarta malinowa DK;szt;5,00;31,12;32,68
31ANGMORBI;4,00;5,40;5,67;ZK 4716/02/2026;1875;Morwa biała li¶ć BIO 50g DARY NATURY;szt;5,00;21,60;22,68
21DERSOKZYP1;1,00;24,40;30,01;ZK 4716/02/2026;7287;DERMESA Sok z Żyworódki Kalanchoe Pinnata 100ml;szt;23,00;24,40;30,01
11AVESOLZM;2,00;6,02;7,40;ZK 4716/02/2026;212;AVENA Sól ziołowa morska 170g;szt;23,00;12,04;14,81
11SMAJARZZ;1,00;9,35;10,10;ZK 4716/02/2026;947;SMAKOSZ Jarzynka z sol± morsk± 500g;szt;8,00;9,35;10,10
11EKOBATORL;1,00;2,28;2,80;ZK 4716/02/2026;7574;DOBRA KALORIA Baton orzech laskowy 35g;szt;23,00;2,28;2,80
21MERSPIBI;1,00;23,99;29,51;ZK 4716/02/2026;1258;Spirulina biohit 200mg 700tabl. MERIDIAN;szt;23,00;23,99;29,51
31DARCZAMI;1,00;4,76;5,14;ZK 4716/02/2026;1935;Czarnuszka MIELONA 50g DARY NATURY;szt;8,00;4,76;5,14
71SYLPASDZ;1,00;12,40;15,25;ZK 4716/02/2026;3316;Pasta do zębów naturalna bez fluoru 100ml SYLVECO;szt;23,00;12,40;15,25
71ETJOLTPO;1,00;5,65;6,95;ZK 4716/02/2026;3775;ETJA Olejek eteryczny nat. - Pomarańczowy 10ml;szt;23,00;5,65;6,95
51FLOKOLGO;1,00;21,32;23,03;ZK 4716/02/2026;2473;Kołnierz gorczycowy FLOS;szt;8,00;21,32;23,03
11BILMAKORJ;3,00;10,54;11,07;ZK 4716/02/2026;7553;M±ka orkiszowa jasna 550 BIO 1kg BIOLIFE;szt;5,00;31,62;33,20
21STALIZBU;4,00;0,80;0,86;ZK 4716/02/2026;7660;Lizik BUBUGUM lizak guma bal. 1 szt. STARPHARMA;szt;8,00;3,20;3,46
