NazwaDokumentu;ProduktID;Kod;ProduktNazwa;Ilosc;Jednostka;Cena;Wartosc;VAT;CenaBrutto;WartoscBrutto
ZK 119813/W/02/2026;2698;5907814663207;AMARANTUS BIO 500 g - BIO PLANET;3.00;szt;5,78;17,34;5,00;6,07;18,21
ZK 119813/W/02/2026;40708;5906395341382;BATON BROWNIE KETO BEZ DODATKU CUKRÓW BEZGLUTENOWY;4.00;szt;4,16;16,64;5,00;4,37;17,47
ZK 119813/W/02/2026;44923;5905279630604;BATON PISTACJOWY Z MALINAMI SICILIANA RAW BEZGL;5.00;szt;4,46;22,30;5,00;4,68;23,42
ZK 119813/W/02/2026;2712;5907814664402;DAKTYLE SUSZONE BEZGLUTENOWE BIO 400 g -BIO PLANET;2.00;szt;9,75;19,50;5,00;10,24;20,48
ZK 119813/W/02/2026;43951;5902431592220;DROŻDŻÓWKA CHAŁKA BEZGLUTENOWA (2 szt.) 120 g - IN;4.00;szt;6,29;25,16;5,00;6,60;26,42
ZK 119813/W/02/2026;1900;8437010207815;GAZPACHO (HISZPAŃSKA ZUPA WARZYWNA) BIO 1 L - BIOS;2.00;szt;11,43;22,86;5,00;12,00;24,00
ZK 119813/W/02/2026;40476;5901866000461;GROSZEK PTYSIOWY BEZ DODATKU CUKRÓW BEZGLUTENOWY;4.00;szt;4,55;18,20;5,00;4,78;19,11
ZK 119813/W/02/2026;46705;7640230492904;JABŁKO - ŚLIWKA DLA DZIECI BIO 190 g - HOLLE;10.00;szt;5,27;52,70;5,00;5,53;55,34
ZK 119813/W/02/2026;35406;5904954645445;KÓŁKA ZBOŻOWE MIODOWE BEZGLUTENOWE 375 g - JERRY G;2.00;szt;9,52;19,04;5,00;10,00;19,99
ZK 119813/W/02/2026;27141;5902367402037;KREM ORZ. CRUNCHY 100% BEZ DOD 1kg-PALIWOAKTYWNYC;1.00;szt;18,70;18,70;5,00;19,64;19,64
ZK 119813/W/02/2026;47795;5903933645414;MAKARON (SUCHY KONJAC) FETTUCINE BEZGLUTENOWY BIO;2.00;szt;8,24;16,48;5,00;8,65;17,30
ZK 119813/W/02/2026;43042;5060691233472;MAKARON KONJAC W KSZTAŁCIE RYŻU (STICKY RICE) DO S;5.00;szt;4,00;20,00;5,00;4,20;21,00
ZK 119813/W/02/2026;12049;8595582418333;MĄKA KUKURYDZIANA BEZGLUTENOWA BIO 450 g  HARMONIE;4.00;szt;4,16;16,64;5,00;4,37;17,47
ZK 119813/W/02/2026;43284;5902560392166;MIESZANKA UNIWERSALNA BEZGLUTENOWA 1 kg - GRANO;6.00;szt;7,10;42,60;5,00;7,46;44,73
ZK 119813/W/02/2026;2731;5907814664501;MORELE SUSZONE BEZGLUTENOWE BIO 400 g - BIO PLANET;6.00;szt;18,00;108,00;5,00;18,90;113,40
ZK 119813/W/02/2026;30153;7640161872219;MUSLI JUNIOR Z PŁATKAMI KUKURYDZIANYMI BEZ;2.00;szt;10,58;21,16;5,00;11,11;22,22
ZK 119813/W/02/2026;30997;5902020648895;OLEJ Z OSTROPESTU TŁOCZONY NA ZIMNO 250 ml - OLAN;2.00;szt;10,41;20,82;5,00;10,93;21,86
ZK 119813/W/02/2026;398;5902605416802;PŁATKI OWSIANE BIO 1 kg - BIO PLANET;5.00;szt;7,65;38,25;5,00;8,03;40,16
ZK 119813/W/02/2026;34887;5901597385103;PRZEKASKA JABŁKOWO-TRUSKAWKOWA 16 g - PORCJA DOBR;24.00;szt;1,46;35,04;5,00;1,53;36,79
ZK 119813/W/02/2026;5279;5907814669346;QUINOA BIAŁA (KOMOSA RYŻOWA) BIO 1 kg - BIO PLANET;1.00;szt;21,64;21,64;5,00;22,72;22,72
ZK 119813/W/02/2026;35518;8588004918061;RURKI KUKURYDZIANE Z KREMEM O SMAKU KOKOS;24.00;szt;0,55;13,20;5,00;0,58;13,86
ZK 119813/W/02/2026;10118;5903900365918;RYŻ BIAŁY DŁUGOZIAR. BEZGL. BIO 1 kg - BIO PLANET;2.00;szt;8,25;16,50;5,00;8,66;17,33
ZK 119813/W/02/2026;390;5902605416628;SOJA BIO 1 kg - BIO PLANET;3.00;szt;12,45;37,35;5,00;13,07;39,22
ZK 119813/W/02/2026;1442;5907752683510;SOK JABŁKOWO - MARCHWIOWY NFC BEZGLUTENOWY BIO 300;4.00;szt;5,23;20,92;5,00;5,49;21,97
ZK 119813/W/02/2026;19516;4860019002800;WODA MINERALNA GAZOWANA 330 ml (SZKŁO) - BORJOMI;4.00;szt;4,38;17,52;23,00;5,39;21,55
ZK 119813/W/02/2026;19844;5900238562866;WODA ŹRÓDLANA NIEGAZOWANA 700 ml (SZKŁO) - BABY ZD;12.00;szt;5,06;60,72;23,00;6,22;74,69
ZK 119813/W/02/2026;46067;4820219349488;ZESTAW SZKOLNY - PRZEKĄSKI I ZABAWKA BEZ DODATKU;2.00;szt;13,60;27,20;5,00;14,28;28,56
