
Kod;Cena;CenaBrutto;NazwaDokumentu;ProduktID;ProduktEAN;ProduktNazwa;Ilosc;Jednostka;VAT;Wartosc;WartoscBrutto
02803;7,04;7,39;ZS-26/02/5508;101;5903548005092;Amarantus ekspandowany  BIO 120 g;1.000000;szt.;5,00;7,04;7,39
03045;1,68;1,76;ZS-26/02/5508;109;5907666575321;Oblaty waniliowe 30 g (SPRZEDAŻ NA OPAKOWANIA ZBIORCZE);1.000000;szt.;5,00;1,68;1,76
03416;7,96;8,36;ZS-26/02/5508;143;5903453002780;Ciasteczka orkiszowe czekoladowe B/C BIO 120 g;1.000000;szt.;5,00;7,96;8,36
04322;5,81;6,10;ZS-26/02/5508;279;8588004638136;Chipsy ziemniaczane pieczone śmietankowo-cebulowe BEZGL. BIO 85 g;1.000000;szt.;5,00;5,81;6,10
04495;6,60;6,93;ZS-26/02/5508;345;5908249970328;Soczewica czerwona BIO 500 g;1.000000;szt.;5,00;6,60;6,93
04646;10,24;10,75;ZS-26/02/5508;401;5903453003572;Muffinki babuni naturalne BIO 200 g;1.000000;szt.;5,00;10,24;10,75
04746;3,73;3,92;ZS-26/02/5508;448;8588004638310;Chrupki kukurydziane Dinozaury o smaku serowym BEZGL. BIO 50 g;1.000000;szt.;5,00;3,73;3,92
04910;5,66;5,94;ZS-26/02/5508;494;5908249970557;Passata pomidorowa BIO 680 g;1.000000;szt.;5,00;5,66;5,94
05014;4,34;4,56;ZS-26/02/5508;514;8007290335050;Makaron mezze penne rigate pełnoz. BIO 500 g;1.000000;szt.;5,00;4,34;4,56
05111;6,72;7,06;ZS-26/02/5508;549;5908249970953;Mąka orkiszowa typ 1850  BIO 1 kg;1.000000;szt.;5,00;6,72;7,06
05222;6,30;6,62;ZS-26/02/5508;579;5908249970601;Groszek zielony w zalewie BIO 350 g / 230 g;1.000000;szt.;5,00;6,30;6,62
05540;6,45;6,77;ZS-26/02/5508;728;5908249971004;Koncentrat pomidorowy BIO 200 g;2.000000;szt.;5,00;12,90;13,55
05723;4,47;4,69;ZS-26/02/5508;820;5908249971264;Bulion drobiowy w kostkach bez oleju palmowego BEZGL. BIO 66 g;8.000000;szt.;5,00;35,76;37,55
05757;10,06;10,86;ZS-26/02/5508;843;5021554989660;Mleko kokosowe BIO 400 ml;1.000000;szt.;8,00;10,06;10,86
06062;15,52;16,30;ZS-26/02/5508;969;8052440156221;Olej słonecznikowy do smażenia BIO 1 l;2.000000;szt.;5,00;31,04;32,59
06228;5,83;6,12;ZS-26/02/5508;1084;5908249971998;Nasiona chia BIO 200 g;1.000000;szt.;5,00;5,83;6,12
06237;7,89;8,28;ZS-26/02/5508;1092;5908249972179;Płatki kukurydziane BIO 300 g;22.000000;szt.;5,00;173,58;182,26
06376;9,79;10,28;ZS-26/02/5508;1149;5906395043033;Ogórki kiszone BIO 500 g/1 kg;5.000000;szt.;5,00;48,95;51,40
06383;3,77;4,64;ZS-26/02/5508;1153;5904730393010;Kwas chlebowy Wileński 500 ml;1.000000;szt.;23,00;3,77;4,64
06439;1,82;1,91;ZS-26/02/5508;1185;5903453006610;Herbatniki mini zoo B/C 50 g;1.000000;szt.;5,00;1,82;1,91
06718;8,11;8,52;ZS-26/02/5508;1261;5908249972841;Chrzan tarty 160 g;1.000000;szt.;5,00;8,11;8,52
07481;2,36;2,90;ZS-26/02/5508;1712;5907651240043;Woda źródlana średniozmineralizowana gazowana 1,5 l;9.000000;szt.;23,00;21,24;26,13
07899;4,07;4,27;ZS-26/02/5508;1964;8428532230108;Napój migdałowy bez dodatku cukru bezglutenowy BIO 200 ml;6.000000;szt.;5,00;24,42;25,64
08054;7,19;7,55;ZS-26/02/5508;2062;5701977062514;Smarowidło wegańskie bez oleju palmowego BIO 225 g;5.000000;szt.;5,00;35,95;37,75
