Kod;Ilosc;Cena;CenaBrutto;NazwaDokumentu;ProduktID;ProduktNazwa;Jednostka;VAT;Wartosc;WartoscBrutto
33ANGHERPAS;4,00;5,84;6,31;ZK 4192/02/2026;7154;Herb. Pasożyty SD BIO 50g DARY NATURY;szt;8,00;23,36;25,23
11BATBATBRK;1,00;3,52;3,70;ZK 4192/02/2026;5986;BATON WARSZAWSKI Brownie KETO 50g;szt;5,00;3,52;3,70
31ANGDZIZE;1,00;5,73;6,02;ZK 4192/02/2026;1840;Dziurawiec ziele BIO 50g DARY NATURY;szt;5,00;5,73;6,02
31FLOPOKLI;6,00;3,84;4,03;ZK 4192/02/2026;7399;Pokrzywa li¶ć 50g FLOS;szt;5,00;23,04;24,19
11BIPBIPSK;1,00;6,52;6,85;ZK 4192/02/2026;447;BIO PLANET Soczewica czerwona BIO 400g;szt;5,00;6,52;6,85
71ROSTRIPMI;1,00;9,58;11,78;ZK 4192/02/2026;7961;TRIUGA Pasta do zębów ajurw. Miswak 100g;szt;23,00;9,58;11,78
71SYZPLYPLK;1,00;13,88;17,07;ZK 4192/02/2026;5489;ZIELKO Płyn do płukania kwiatowy 1000ml;szt;23,00;13,88;17,07
71LIMBALKR;2,00;33,33;41,00;ZK 4192/02/2026;2831;Balsam Krzemowy - uwodniona krzemionka 200ml LIMBA;szt;23,00;66,66;81,99
31FLOROKMI;1,00;6,62;7,15;ZK 4192/02/2026;7494;Rokitnik owoc mielony 50g FLOS;szt;8,00;6,62;7,15
21MIRLUDWW1;2,00;8,78;9,48;ZK 4192/02/2026;5053;LUD. REC. wsparcie pracy w±troby;szt;8,00;17,56;18,96
21BIFZSHUPD;1,00;7,56;7,94;ZK 4192/02/2026;5840;Podpaski dzienne 10 sztuk SHUYA HEALTH;szt;5,00;7,56;7,94
71NATREVSZ;1,00;17,58;21,62;ZK 4192/02/2026;2859;REVITAX Szampon na porost włosów 250ml;szt;23,00;17,58;21,62
31FLOGINBI;1,00;5,33;5,60;ZK 4192/02/2026;6869;Ginkgo biloba li¶ć miłorzębu japońskiego 50g FLOS;szt;5,00;5,33;5,60
11SIMMAKMI1;1,00;21,07;22,12;ZK 4192/02/2026;5006;PIĘĆ PRZEMIAN M±ka migdałowa PREMIUM bezgl. 500g;szt;5,00;21,07;22,12
31DARKMIMK;1,00;3,79;4,09;ZK 4192/02/2026;1951;Kminek mielony 60g DARY NATURY;szt;8,00;3,79;4,09
21EKOOREGA;1,00;26,05;28,13;ZK 4192/02/2026;8106;Oregavit - olejek z oregano 50ml EKOTOTU;szt;8,00;26,05;28,13
11BARMORK3S;1,00;5,02;5,27;ZK 4192/02/2026;7781;BARTOLINI Makaron orkiszowy 3-smakowy BIO 250g;szt;5,00;5,02;5,27
21SWACALCI;4,00;14,78;15,96;ZK 4192/02/2026;8042;SWANSON Calcium Citrate 200mg, 60 kaps.;szt;8,00;59,12;63,85
31FLORDEJA;1,00;8,95;9,40;ZK 4192/02/2026;3331;Rdestowiec Japoński kł±cze mielone 100g FLOS;szt;5,00;8,95;9,40
31ANGTYSZI;1,00;6,05;6,35;ZK 4192/02/2026;7411;Tysi±cznik ziele BIO 50g DARY NATURY;szt;5,00;6,05;6,35
31ANGBEZOO;1,00;9,51;9,99;ZK 4192/02/2026;1827;Bez owoc BIO 100g DARY NATURY;szt;5,00;9,51;9,99
11BARMORKPS;1,00;4,42;4,64;ZK 4192/02/2026;7779;BARTOLINI Makaron orkiszowy pełn. ¶wider BIO 250g;szt;5,00;4,42;4,64
31DARZPRPT;1,00;6,92;7,47;ZK 4192/02/2026;2009;Przyprawa pomidor-bazylia z czosnkiem niedĽwiedzim;szt;8,00;6,92;7,47
34ANGKORMNH;1,00;6,27;6,77;ZK 4192/02/2026;7531;Her korz. mniszka hib cyn BIO 25*2g DARY NATURY;szt;8,00;6,27;6,77
21CARWITDK;1,00;103,69;111,99;ZK 4192/02/2026;6958;CARSKA Witaminy D3 + K2 Forte 50ml;szt;8,00;103,69;111,99
31DARZPRPU;1,00;3,89;4,20;ZK 4192/02/2026;4616;Przyprawa pomidorowo - paprykowa 50g DARY NATURY;szt;8,00;3,89;4,20
11SIMBLOBA25;1,00;8,18;8,83;ZK 4192/02/2026;6313;PIĘĆ PRZEMIAN Błonnik bambusowy 250g;szt;8,00;8,18;8,83
11BILMAKZYC;1,00;5,49;5,76;ZK 4192/02/2026;7556;M±ka żytnia chlebowa 720 BIO 1kg BIOLIFE;szt;5,00;5,49;5,76
71NATKRAMC;2,00;15,76;19,38;ZK 4192/02/2026;2851;KRAUTERHOF Ma¶ć końska chłodz±ca 500ml;szt;23,00;31,52;38,77
11DIEALFLU;1,00;4,46;4,82;ZK 4192/02/2026;559;Alfalfa lucerna na kiełki 80g DIETFOOD;szt;8,00;4,46;4,82
11BIPBIPM4A;1,00;10,44;10,96;ZK 4192/02/2026;342;BIO PLANET M±ka gryczana pełnoziarnista BIO 1kg;szt;5,00;10,44;10,96
71ARABALSGP;1,00;65,91;71,18;ZK 4192/02/2026;8024;Balsam Gór mumio oczyszczone shilajit 50g;szt;8,00;65,91;71,18
31DARZPRPS;1,00;7,03;7,59;ZK 4192/02/2026;2008;Przyprawa pomidor-czosnek z czarnuszk± 40g DARY N.;szt;8,00;7,03;7,59
