
Kod;Cena;CenaBrutto;NazwaDokumentu;ProduktID;ProduktEAN;ProduktNazwa;Ilosc;Jednostka;VAT;Wartosc;WartoscBrutto
04630;11,57;12,15;ZS-26/02/4561;388;5908249971752;Pietruszka BIO 1 kg #;1.000000;kg;5,00;11,57;12,15
04864;4,58;4,81;ZS-26/02/4561;465;5908249971684;Burak BIO 1 kg #;1.000000;kg;5,00;4,58;4,81
06991;7,26;7,62;ZS-26/02/4561;1440;5908249973183;Pomarańcze BIO IMPORT 1 kg #;3.000000;kg;5,00;21,78;22,87
05383;5,21;5,47;ZS-26/02/4561;670;5908249976740;Pieczarka biała BIO 250g #;4.000000;szt.;5,00;20,84;21,88
06979;1,90;2,00;ZS-26/02/4561;1429;5908249976023;Kiwi BIO IMPORT 1 szt #;10.000000;szt.;5,00;19,00;19,95
07894;5,45;5,72;ZS-26/02/4561;1959;5908249976771;Pieczarka brązowa BIO 250 g #;2.000000;szt.;5,00;10,90;11,45
