Kod;Ilosc;Cena;CenaBrutto;NazwaDokumentu;ProduktID;ProduktNazwa;Jednostka;VAT;Wartosc;WartoscBrutto
21STAZDRLL;1,00;1,15;1,24;ZK 4716/02/2026 ZK 4717/02/2026;7668;Zdrowy lizak LOKOMOTION bez cukru 1 szt. STARPHARMA;szt;8,00;1,15;1,24
21STAZDRMT1;3,00;1,24;1,34;ZK 4716/02/2026 ZK 4717/02/2026;7676;Zdrowy lizak Mniam-Mniam bez cukru truskawka 1 szt. STARPHARMA;szt;8,00;3,72;4,02
21SUPDEPR;4,00;5,90;6,37;ZK 4716/02/2026 ZK 4717/02/2026;6782;DEPRELIIV - układ nerwowy, dobry nastrój 60 kaps.;szt;8,00;23,60;25,49
21SUPKOLPL;1,00;16,45;17,77;ZK 4716/02/2026 ZK 4717/02/2026;7060;Kolagen rybi + witamina C - proszek 100g SUPLIIV;szt;8,00;16,45;17,77
31ANGMORBI;4,00;5,40;5,67;ZK 4716/02/2026 ZK 4717/02/2026;1875;Morwa biała li¶ć BIO 50g DARY NATURY;szt;5,00;21,60;22,68
31DARCZAMI;1,00;4,76;5,14;ZK 4716/02/2026 ZK 4717/02/2026;1935;Czarnuszka MIELONA 50g DARY NATURY;szt;8,00;4,76;5,14
31DARPIECM;1,00;6,17;6,66;ZK 4716/02/2026 ZK 4717/02/2026;1969;Pieprz czarny mielony 50g DARY NATURY;szt;8,00;6,17;6,66
31DARTYM20B;1,00;3,79;4,09;ZK 4716/02/2026 ZK 4717/02/2026;7240;Tymianek BIO 20g DARY NATURY;szt;8,00;3,79;4,09
31DARZPRDO;1,00;4,65;5,02;ZK 4716/02/2026 ZK 4717/02/2026;1987;Przyprawa do drobiu 50g DARY NATURY;szt.;8,00;4,65;5,02
31DARZPRKZ4;1,00;3,46;3,74;ZK 4716/02/2026 ZK 4717/02/2026;5988;Przyprawa kurczak złoty 60g DARY NATURY;szt.;8,00;3,46;3,74
31DARZPRZG;1,00;6,05;6,53;ZK 4716/02/2026 ZK 4717/02/2026;2028;Przyprawa do zupy grzybowej i innych dań z grzybów 50g DARY NATURY;szt;8,00;6,05;6,53
31FLOKOZKO;5,00;4,48;4,70;ZK 4716/02/2026 ZK 4717/02/2026;7512;Kozłek korzeń 50g FLOS;szt;5,00;22,40;23,52
34ARGSIL50;2,00;13,47;16,57;ZK 4716/02/2026 ZK 4717/02/2026;2254;SILVIANA herbata wspomagaj±ca odchudzanie 50*3g;szt;23,00;26,94;33,14
51FLOKOLGO;1,00;21,32;23,03;ZK 4716/02/2026 ZK 4717/02/2026;2473;Kołnierz gorczycowy FLOS;szt;8,00;21,32;23,03
71ADAAROKP1;1,00;38,30;47,11;ZK 4716/02/2026 ZK 4717/02/2026;5708;ARONIA Krem przeciwzmarszczkowy z peptydami 50ml NATURALIS;szt;23,00;38,30;47,11
71ARAFKRGL;1,00;8,58;10,55;ZK 4716/02/2026 ZK 4717/02/2026;8015;FBT Krem do twarzy z glistnikiem 44ml GOLDEN PHARM;szt;23,00;8,58;10,55
71ETJOLTPO;1,00;5,65;6,95;ZK 4716/02/2026 ZK 4717/02/2026;3775;ETJA Olejek eteryczny naturalny - Pomarańczowy 10ml;szt;23,00;5,65;6,95
71FLOZELAO;1,00;9,79;12,04;ZK 4716/02/2026 ZK 4717/02/2026;2780;Żel arnikowy pod oczy na sińce, obrzmienia 15ml FLOSLEK;szt;23,00;9,79;12,04
71ROSBISKO;1,00;28,31;34,82;ZK 4716/02/2026 ZK 4717/02/2026;5411;BISZOFIT POŁTAWSKI Koncentrat do k±pieli 1000ml;szt;23,00;28,31;34,82
71SYLPASDZ;1,00;12,40;15,25;ZK 4716/02/2026 ZK 4717/02/2026;3316;Pasta do zębów naturalna bez fluoru 100ml SYLVECO;szt;23,00;12,40;15,25
71ZIAPASSC;1,00;5,85;7,20;ZK 4716/02/2026 ZK 4717/02/2026;3103;Pasta szałwiowa bez fluoru MintPerfekt 75ml ZIAJA;szt;23,00;5,85;7,20
PERSEA21OLEOR;1,00;26,24;32,28;ZK 4716/02/2026 ZK 4717/02/2026;7043;Olejek oregano 100% 30ml ZIELARZPOLSKI.PL;szt;23,00;26,24;32,28
PERSEA31PAPSL;2,00;5,89;6,36;ZK 4716/02/2026 ZK 4717/02/2026;6712;Papryka słodka 50g ZIELARZPOLSKI.PL;szt;8,00;11,78;12,72
PERSEA31PRZYPRO;1,00;6,55;7,07;ZK 4716/02/2026 ZK 4717/02/2026;6748;Przyprawa do rosołu (bez soli) 50g ZIELARZPOLSKI.PL;szt;8,00;6,55;7,07
PERSEA31SKRPO;1,00;5,39;5,66;ZK 4716/02/2026 ZK 4717/02/2026;6215;Skrzyp polny 50g ZIELARZPOLSKI.PL;szt;5,00;5,39;5,66
PERSEA31ZIOKU;1,00;6,55;7,07;ZK 4716/02/2026 ZK 4717/02/2026;6994;Ziołowy kurczak przyprawa 40g ZIELARZPOLSKI.PL;szt;8,00;6,55;7,07
PERSEA33LIMHE;2,00;22,74;24,56;ZK 4716/02/2026 ZK 4717/02/2026;6404;Limfa - herbatka ziołowa 100g ZIELARZPOLSKI.PL;szt;8,00;45,48;49,12
PERSEA33ODCHE;3,00;22,75;24,57;ZK 4716/02/2026 ZK 4717/02/2026;6685;Odchudzanie - herbatka ziołowa 100g ZIELARZPOLSKI.PL;szt;8,00;68,25;73,71
PERSEA33SPOHE;1,00;22,74;24,56;ZK 4716/02/2026 ZK 4717/02/2026;6456;Spokój - herbatka ziołowa 100g ZIELARZPOLSKI.PL;szt;8,00;22,74;24,56
