Kod;Ilosc;Cena;CenaBrutto;NazwaDokumentu;ProduktID;ProduktNazwa;Jednostka;VAT;Wartosc;WartoscBrutto
11BIPBIPPO2;1,00;11,14;11,70;ZK 4052/02/2026;5397;BIO PLANET Płatki owsiane BEZGLUTENOWE BIO 1kg;szt;5,00;11,14;11,70
21SUFRIN;2,00;42,30;45,68;ZK 4052/02/2026;8058;SUFRIN suplement diety BIO-SIARKA 125mg, 60 kaps.;szt;8,00;84,60;91,37
21SUPDEPR;2,00;5,90;6,37;ZK 4052/02/2026;6782;DEPRELIIV - układ nerwowy, dobry nastrój 60 kaps.;szt;8,00;11,80;12,74
11SIMCHIA2;1,00;6,95;7,30;ZK 4052/02/2026;7583;PIĘĆ PRZEMIAN Chia 200g;szt;5,00;6,95;7,30
51PLANACKI;2,00;19,15;23,55;ZK 4052/02/2026;2483;Naczynie do kiełkowania BIO NATURA;szt.;23,00;38,30;47,11
11BIPNAVTON;2,00;8,11;8,76;ZK 4052/02/2026;8023;NATURAVENA Tofu naturalne klasyczne 250g;szt;8,00;16,22;17,52
11BIFOLEKB2;1,00;10,81;11,35;ZK 4052/02/2026;7430;BIO FOOD Olej kokosowy bezwonny BIO 260ml;szt;5,00;10,81;11,35
11BIPBIPKL;1,00;4,95;5,20;ZK 4052/02/2026;329;BIO PLANET Kaszka kukurydziana BIO 500g;szt;5,00;4,95;5,20
11CELBUDWA;1,00;0,85;0,89;ZK 4052/02/2026;7909;Budyń waniliowy b/g b/c 40g CELIKO;szt;5,00;0,85;0,89
11BIPBIPML;2,00;6,27;6,58;ZK 4052/02/2026;358;BIO PLANET M±ka żytnia razowa typ 2000 BIO 1kg;szt;5,00;12,54;13,17
71BIOROSKSU;2,00;24,32;29,91;ZK 4052/02/2026;7442;ROSE Krem przeciwstarzeniowy ULTRA 50ml BIOFRESH;szt;23,00;48,64;59,83
11BARMSAMPF;1,00;6,24;6,55;ZK 4052/02/2026;7778;BARTOLINI Makaron z samopszy pełn. fala BIO 250g;szt;5,00;6,24;6,55
11CELBUDSM;1,00;0,85;0,89;ZK 4052/02/2026;7908;Budyń ¶mietankowy b/g b/c 40g CELIKO;szt;5,00;0,85;0,89
11BIPBIPKK3;1,00;7,84;8,23;ZK 4052/02/2026;8029;BIO PLANET Kasza jęczmienna pęczak BIO 1kg;szt;5,00;7,84;8,23
71SULBUZSP;1,00;16,37;20,14;ZK 4052/02/2026;5837;BUSKODENT Siarczkowa pasta do zębów 75g SULPHUR;szt;23,00;16,37;20,14
11SIMRODWC;1,00;8,97;11,03;ZK 4052/02/2026;3348;PIĘĆ PRZEMIAN Rodzynki w czekoladzie 140g;szt;23,00;8,97;11,03
11STETAGTB;2,00;10,23;11,05;ZK 4052/02/2026;3266;Tagatesse - 650 tabletek DAMHERT;szt;8,00;20,46;22,10
