Kod;Ilosc;Cena;CenaBrutto;NazwaDokumentu;ProduktID;ProduktNazwa;Jednostka;VAT;Wartosc;WartoscBrutto
31DARKURKB1;1,00;5,95;6,43;ZK 4169/02/2026;7239;Kurkuma BIO 50g DARY NATURY;szt.;8,00;5,95;6,43
31DRYZAPBF;3,00;7,03;7,59;ZK 4169/02/2026;7864;Zaprawka do alkoholu Benedyktynka BIO 20g DN;szt;8,00;21,09;22,78
31ANGMIELI;2,00;4,76;5,00;ZK 4169/02/2026;1873;Mięta li¶ć BIO 25g DARY NATURY;szt;5,00;9,52;10,00
21BIDHWITK2;2,00;32,48;39,95;ZK 4169/02/2026;7270;HEMPKING Witamina K2 MK7 w oleju 30ml;szt;23,00;64,96;79,90
11SIMCYNCEM;1,00;8,85;9,56;ZK 4169/02/2026;5702;PIĘĆ PRZEMIAN Cynamon cejloński BIO mielony 75g;szt;8,00;8,85;9,56
11AVESOLPO;1,00;4,81;5,92;ZK 4169/02/2026;211;AVENA Sól prowansalska 170g;szt;23,00;4,81;5,92
11DIERZOKI;2,00;4,59;4,96;ZK 4169/02/2026;563;Rzodkiewka na kiełki 80g DIETFOOD;szt;8,00;9,18;9,91
21MIRLUDNJ;2,00;8,78;9,48;ZK 4169/02/2026;1415;LUD. REC. niestrawno¶ci, odbijanie, doleg. żoł.-je;szt;8,00;17,56;18,96
11BIPBIPLG;1,00;5,53;5,81;ZK 4169/02/2026;336;BIO PLANET Len mielony BIO 250g;szt;5,00;5,53;5,81
21ASTMIEJ1;1,00;4,01;4,21;ZK 4169/02/2026;7972;ASTRON Mięta jabłkowa 30g;szt;5,00;4,01;4,21
11AVESOLZO;1,00;4,81;5,92;ZK 4169/02/2026;213;AVENA Sól ziołowa 170g;szt;23,00;4,81;5,92
71LIMSZAKP;1,00;14,93;18,36;ZK 4169/02/2026;2836;Szampon krzemowy p/łojotokowy i łupieżowy 250ml;szt;23,00;14,93;18,36
31DRYZAPGZ;2,00;6,05;6,53;ZK 4169/02/2026;7012;Zaprawka do alkoholu GORZKA ZIOŁOWA BIO 20g;szt;8,00;12,10;13,07
31FLOSKRZI;1,00;3,84;4,03;ZK 4169/02/2026;7506;Skrzyp ziele 50g FLOS;szt;5,00;3,84;4,03
31PROANDRO;1,00;12,17;12,78;ZK 4169/02/2026;4593;PROHERBIS Andrographis Paniculata - ziele miel 50g;szt;5,00;12,17;12,78
11BIPBIPPU;1,00;5,53;5,81;ZK 4169/02/2026;415;BIO PLANET Popcorn (ziarno kukurydzy) BIO 400g;szt;5,00;5,53;5,81
71ROSLEKPAO;1,00;7,85;9,66;ZK 4169/02/2026;7307;LEKOPRO Pasta do zębów Olejek goĽdzikowy 100ml;szt;23,00;7,85;9,66
31DARCYNCC;1,00;10,38;11,21;ZK 4169/02/2026;4040;Cynamon Cejloński laska BIO 30g DARY NATURY;szt.;8,00;10,38;11,21
11BIPBIPMG;1,00;6,81;7,15;ZK 4169/02/2026;353;BIO PLANET M±ka pszenna razowa typ 2000 BIO 1kg;szt;5,00;6,81;7,15
71ARABALSGP;1,00;65,91;71,18;ZK 4169/02/2026;8024;Balsam Gór mumio oczyszczone shilajit 50g;szt;8,00;65,91;71,18
31DARROZ30B;1,00;4,54;4,77;ZK 4169/02/2026;7249;Rozmaryn BIO 30g DARY NATURY;szt;5,00;4,54;4,77
21AURFLOFE;2,00;4,10;4,43;ZK 4169/02/2026;6981;AURA Floradrop femi kapsułki 20 szt.;szt;8,00;8,20;8,86
11SIMGOZMI;1,00;10,91;11,78;ZK 4169/02/2026;7102;PIĘĆ PRZEMIAN GoĽdziki mielone BIO 65g;szt;8,00;10,91;11,78
11DIEBROWC;1,00;5,76;6,22;ZK 4169/02/2026;560;Brokuł włoski na kiełki 20g DIETFOOD;szt;8,00;5,76;6,22
71BARSPISA;2,00;4,51;5,55;ZK 4169/02/2026;7624;Spirytus salicylowy kosmetyczny 100g BARWA;szt;23,00;9,02;11,09
