
Kod;Cena;CenaBrutto;NazwaDokumentu;ProduktID;ProduktEAN;ProduktNazwa;Ilosc;Jednostka;VAT;Wartosc;WartoscBrutto
04846;4,03;4,23;ZS-26/02/3604;461;5908249971806;Ziemniak jadalny BIO 1 kg #;1.000000;kg;5,00;4,03;4,23
04847;5,77;6,06;ZS-26/02/3604;462;5908249971707;Cebula żółta BIO 1 kg #;1.000000;kg;5,00;5,77;6,06
10153;5,69;5,97;ZS-26/02/3604;3847;10153;Jabłka Idared BIO 1 kg #;1.000000;kg;5,00;5,69;5,97
06962;4,15;4,36;ZS-26/02/3604;1412;5908249975989;Awokado (DUŻE) BIO IMPORT 1 szt #;1.000000;szt.;5,00;4,15;4,36
