Kod;Ilosc;Cena;CenaBrutto;NazwaDokumentu;ProduktID;ProduktNazwa;Jednostka;VAT;Wartosc;WartoscBrutto
PERSEA31MIELI;1,00;8,76;9,20;ZK 4170/02/2026;6180;Mięta li¶ć 50g ZIELARZPOLSKI.PL;szt;5,00;8,76;9,20
PERSEA31PRZYTCZEZI;1,00;10,12;10,63;ZK 4170/02/2026;6203;Przytulia czepna ziele 50g ZIELARZPOLSKI.PL;szt;5,00;10,12;10,63
PERSEA33DNAHE;1,00;22,74;24,56;ZK 4170/02/2026;6453;Dna moczanowa - herbatka ziołowa 100g ZIELARZPOLSK;szt;8,00;22,74;24,56
PERSEA31CYNCEJMI;1,00;10,49;11,33;ZK 4170/02/2026;6226;Cynamon cejloński mielony 50g ZIELARZPOLSKI.PL;szt;8,00;10,49;11,33
PERSEA31IMBMI;1,00;4,91;5,30;ZK 4170/02/2026;6145;Imbir mielony 50g ZIELARZPOLSKI.PL;szt;8,00;4,91;5,30
PERSEA31KOPWL;3,00;5,23;5,65;ZK 4170/02/2026;6159;Koper włoski 50g ZIELARZPOLSKI.PL;szt;8,00;15,69;16,95
PERSEA31CYNCEJLA;1,00;13,11;14,16;ZK 4170/02/2026;6225;Cynamon cejloński laska 50g ZIELARZPOLSKI.PL;szt;8,00;13,11;14,16
