
Kod;Cena;CenaBrutto;NazwaDokumentu;ProduktID;ProduktEAN;ProduktNazwa;Ilosc;Jednostka;VAT;Wartosc;WartoscBrutto
00189;3,43;3,60;ZS-26/02/4343;24;5901567000159;Bulion wegetariański 120 g;1.000000;szt.;5,00;3,43;3,60
01815;45,00;55,35;ZS-26/02/4343;72;1913;Usługa transportowa;1.000000;szt.;23,00;45,00;55,35
04915;4,34;4,56;ZS-26/02/4343;499;8007290335043;Makaron fusilli pełnoziarnisty BIO 500 g;1.000000;szt.;5,00;4,34;4,56
05222;6,30;6,62;ZS-26/02/4343;579;5908249970601;Groszek zielony w zalewie BIO 350 g / 230 g;1.000000;szt.;5,00;6,30;6,62
07218;15,34;16,57;ZS-26/02/4343;1564;5908249973350;Aminos kokosowy BIO 250 ml;2.000000;szt.;8,00;30,68;33,13
07685;3,91;4,11;ZS-26/02/4343;1842;5908249974258;Bulion warzywny w kostkach bez drożdży, bez oleju palmowego BEZGL. BIO 60 g;1.000000;szt.;5,00;3,91;4,11
09429;4,34;4,56;ZS-26/02/4343;3070;8007290133694;Makaron rosmarino BIO 500 g;1.000000;szt.;5,00;4,34;4,56
10197;4,34;4,56;ZS-26/02/4343;3901;8007290133236;Makaron elicoidali BIO 500 g;1.000000;szt.;5,00;4,34;4,56
11438;4,38;4,60;ZS-26/02/4343;5343;5900900003376;Żywy zakwas z buraków ćwikłowych bezglutenowy BIO 320;11.000000;szt.;5,00;48,18;50,59
11510;4,89;5,13;ZS-26/02/4343;5421;5908249979499;Płatki kukurydziane bez dodatku cukru BEZGL. BIO 250 g;3.000000;szt.;5,00;14,67;15,40
11699;3,05;3,75;ZS-26/02/4343;5634;8411066002877;Czekolada gorzka 73% kakao BIO 25 g;1.000000;szt.;23,00;3,05;3,75
11765;4,34;4,56;ZS-26/02/4343;5708;8007290133328;Makaron fusilli BIO 500 g;2.000000;szt.;5,00;8,68;9,11
11943;9,28;9,74;ZS-26/02/4343;5909;8008620050506;Krakersy z oliwą z oliwek BIO 250 g;2.000000;szt.;5,00;18,56;19,49
11963;4,39;4,74;ZS-26/02/4343;5941;8586017254794;Tofu marynowane w sosie sojowym 180g;4.000000;szt.;8,00;17,56;18,96
11965;4,49;4,85;ZS-26/02/4343;5943;8586017259652;Tofu Seafoo 180g;2.000000;szt.;8,00;8,98;9,70
11966;4,11;4,44;ZS-26/02/4343;5944;8586001012744;Pasta z Tofu Delikatna 150g;1.000000;szt.;8,00;4,11;4,44
11967;4,11;4,44;ZS-26/02/4343;5945;8586001012737;Pasta z tofu z papryką i chilli 150g;1.000000;szt.;8,00;4,11;4,44
11968;4,11;4,44;ZS-26/02/4343;5946;8586001012720;Pasta z tofu smalczyk z cebulką 150g;2.000000;szt.;8,00;8,22;8,88
11970;4,59;4,96;ZS-26/02/4343;5948;8586024421172;Pasta pasztet z ziołami 150g;1.000000;szt.;8,00;4,59;4,96
12089;4,39;4,74;ZS-26/02/4343;6085;8586017256552;Tofu marynowane sweet chilli 180 g;3.000000;szt.;8,00;13,17;14,22
12100;19,03;19,98;ZS-26/02/4343;6096;5906660508366;Psyllium Łuska Babki Jajowatej BIO 150 g;1.000000;szt.;5,00;19,03;19,98
12421;10,42;12,82;ZS-26/02/4343;6423;4019886020008;Płyn do czyszczenia toalet cytrusowy BIO 750 ml;1.000000;szt.;23,00;10,42;12,82
12744;9,50;9,98;ZS-26/02/4343;6751;7330933176941;Ekologiczne wkladki higieniczne, Large, 28 szt;1.000000;szt.;5,00;9,50;9,98
