NazwaDokumentu;ProduktID;Kod;ProduktNazwa;Ilosc;Jednostka;Cena;Wartosc;VAT;CenaBrutto;WartoscBrutto
ZK 107677/W/02/2026;5907;5902650274570;BROKUŁY ŚWIEŻE BIO (około 0,50 kg);1.00;szt;7,68;7,68;5,00;8,06;8,06
ZK 107677/W/02/2026;6560;5902650272804;BURAK CZERWONY ŚWIEŻY BIO (POLSKA) (około 1,00 kg);8.00;szt;3,61;28,88;5,00;3,79;30,32
ZK 107677/W/02/2026;21105;4260229160305;CIASTO FRANCUSKIE MAŚLANE BIO 275 g - DONAU STRUD;2.00;szt;12,07;24,14;5,00;12,67;25,35
ZK 107677/W/02/2026;15517;5902650274587;JABŁKA NA SOK ŚWIEŻE BIO (POLSKA) (około 1,00 kg);4.00;szt;5,06;20,24;5,00;5,31;21,25
ZK 107677/W/02/2026;11972;5903900368650;JABŁKA ŚWIEŻE BIO (GALA - POLSKA) (około 1,00 kg);1.00;szt;6,84;6,84;5,00;7,18;7,18
ZK 107677/W/02/2026;9501;5902983782247;JARMUŻ ŚWIEŻY BIO (około 0,25 kg);8.00;szt;4,80;38,40;5,00;5,04;40,32
ZK 107677/W/02/2026;7226;5907766463016;KIEŁKI SŁONECZNIKA ŚWIEŻE BIO (około 50 g);3.00;szt;3,66;10,98;5,00;3,84;11,53
ZK 107677/W/02/2026;6038;253721;POMIDORY NA GAŁĄZCE ŚWIEŻE BIO (około 0,45 kg);0.450;kg;16,29;7,33;5,00;17,10;7,70
ZK 107677/W/02/2026;7996;5907814661999;SELER NACIOWY ŚWIEŻY BIO (około 0,30 kg);26.00;szt;5,86;152,36;5,00;6,15;159,98
ZK 107677/W/02/2026;3253;5907814668141;WŁOSZCZYZNA ŚWIEŻA BIO (POLSKA) (około 0,60 kg);1.00;szt;7,82;7,82;5,00;8,21;8,21
