NazwaDokumentu;ProduktID;Kod;ProduktNazwa;Ilosc;Jednostka;Cena;Wartosc;VAT;CenaBrutto;WartoscBrutto
ZK 107678/W/02/2026;32703;5998858706852;BUŁKA TARTA BEZGLUTENOWA BIO 200 g - BIOPONT;3.00;szt;6,63;19,89;5,00;6,96;20,88
ZK 107678/W/02/2026;44381;8936181660448;CHIPSY NORI TERIYAKI 4,5 g - SEN SOY;9.00;szt;2,25;20,25;5,00;2,36;21,26
ZK 107678/W/02/2026;6741;8718976009584;CHIPSY TORTILLA KUKURYDZIANE PAPRYKOWE BEZGLUTENOW;4.00;szt;4,55;18,20;5,00;4,78;19,11
ZK 107678/W/02/2026;8119;8717496900081;CHIPSY TORTILLA KUKURYDZIANE SEROWE BEZGLUTENOWE B;3.00;szt;7,95;23,85;5,00;8,35;25,04
ZK 107678/W/02/2026;32155;5907652545543;CHRUPKI PIRAMIDKI PROTEINOWE O SMAKU POMIDORA Z B;10.00;szt;3,19;31,90;5,00;3,35;33,50
ZK 107678/W/02/2026;32156;5904730218344;CHRUPKI PIRAMIDKI PROTEINOWE O SMAKU SERA I CEBULI;5.00;szt;2,89;14,45;5,00;3,03;15,17
ZK 107678/W/02/2026;40541;5904730218139;CHRUPKI PIRAMIDKI PROTEINOWE O SMAKU SŁODKIEJ PAPR;15.00;szt;2,89;43,35;5,00;3,03;45,52
ZK 107678/W/02/2026;20396;8699367125529;FARBA DO WŁOSÓW BRĄZ 4.00 - BIOMAGIC;2.00;szt;16,45;32,90;23,00;20,23;40,47
ZK 107678/W/02/2026;45178;4751022365849;KULKI PROTEINOWE MIODOWE BIO 150 g - NORDCRUNCH;3.00;szt;5,31;15,93;5,00;5,58;16,73
ZK 107678/W/02/2026;42246;5999885485314;MAKARON (KUKURYDZIANY) ŚWIEDERKI EZGLUTENOWY 450 g;6.00;szt;4,42;26,52;5,00;4,64;27,85
ZK 107678/W/02/2026;11102;8588003339416;MAKARON (Z ZIELONEJ SOI) FETTUCCINE BEZGL MAXSPORT;2.00;szt;7,48;14,96;5,00;7,85;15,71
ZK 107678/W/02/2026;6078;5998858706579;PALUSZKI SOLONE BEZGLUTENOWE BIO 45 g - BIOPONT;6.00;szt;3,27;19,62;5,00;3,43;20,60
ZK 107678/W/02/2026;3689;4019555700071;PŁYN DO PRANIA WEŁNIANYCH I JEDWABNYCH UBRAŃ (KONC;1.00;szt;17,85;17,85;23,00;21,96;21,96
ZK 107678/W/02/2026;13672;5904730218573;POPCORN(ZIARNO KUKURYDZY NIEBI) B/G BIO 350-BLUECO;3.00;szt;7,52;22,56;5,00;7,90;23,69
ZK 107678/W/02/2026;11783;5904730012669;TALARKI JAGLANO-KUKURYDZIANE BIO 55 g - BIOMINKI;6.00;szt;3,23;19,38;5,00;3,39;20,35
